採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
楓港溪流域,楓港溪,屏東縣,巴士墨段橋(取代伊屯吊橋),甲,2017/3/9 下午 12:40:00,1215,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
楓港溪流域,楓港溪,屏東縣,巴士墨段橋(取代伊屯吊橋),甲,2017/2/8 上午 11:40:00,1215,1.0,26.7,22.7,8.6,309,--,9.5,110.5,<1.0,<4.0,2.2,60,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,巴士墨段橋(取代伊屯吊橋),甲,2017/1/4 上午 11:30:00,1215,1.0,24.5,22.2,7.1,304,--,9.1,105.5,1.3,4.3,2.8,85,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/12/1 下午 01:30:00,1216,1.0,25.3,24.2,8.5,355,--,8.7,103.0,<1.0,<4.0,11.7,550,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/11/6 上午 10:30:00,1216,1.0,25.0,22.9,8.2,343,--,9.0,104.5,1.2,4.1,19.0,910,0.02,--,0.026,--,0.58,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.003,0.009,0.013,<0.001,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/10/6 上午 10:30:00,1216,2.3,31.6,28.8,8.4,315,--,8.0,104.3,<1.0,4.6,71.0,21000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/9/7 上午 11:30:00,1216,3.3,30.5,28.0,8.2,270,--,7.4,94.3,<1.0,4.1,106,1600,<0.01,--,0.086,--,0.54,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.004,0.018,0.069,<0.001,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/8/22 上午 11:20:00,1216,2.3,28.5,28.7,8.4,344,--,8.0,105.0,1.8,9.2,73.1,25000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/7/7 上午 10:29:00,1216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/6/3 下午 12:00:00,1216,3.3,28.9,27.9,8.2,311,--,7.6,96.4,<1.0,9.1,150,5000,0.02,--,0.084,--,0.45,--,<0.001,0.005,<0.002,0.0025,<0.0003,0.007,0.037,0.210,<0.001,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/5/10 上午 09:52:00,1216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/4/8 下午 12:45:00,1216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/3/9 下午 01:10:00,1216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/2/8 下午 12:33:00,1216,1.0,27.4,26.3,8.8,320,--,11.2,139.3,1.7,5.3,5.2,110,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
楓港溪流域,楓港溪,屏東縣,楓港溪橋,乙,2017/1/4 下午 12:10:00,1216,1.0,26.0,23.8,8.9,310,--,12.3,145.1,1.3,<4.0,1.3,70,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/12/1 下午 02:30:00,1214,1.0,27.8,25.6,8.5,350,--,8.8,107.3,<1.0,<4.0,12.6,200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/11/6 上午 11:15:00,1214,2.3,26.0,23.9,8.2,317,--,8.5,100.6,1.3,5.2,96.1,2000,<0.01,--,0.004,--,0.96,--,<0.001,0.005,<0.002,0.0006,<0.0003,0.006,0.025,0.131,<0.001,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/10/6 上午 11:30:00,1214,2.3,34.6,31.7,8.5,325,--,8.1,110.6,<1.0,<4.0,85.3,150,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/9/7 下午 12:10:00,1214,3.3,30.7,28.7,8.2,278,--,7.4,96.7,<1.0,<4.0,122,600,<0.01,--,0.066,--,0.67,--,<0.001,0.004,<0.002,0.0003,<0.0003,0.004,0.017,0.077,<0.001,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/8/22 下午 12:00:00,1214,3.3,27.7,27.4,8.3,234,--,7.7,97.1,1.8,18.0,3120,14000,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/7/7 上午 10:50:00,1214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/6/3 下午 12:40:00,1214,2.3,29.5,26.9,8.3,352,--,7.6,96.5,<1.0,5.5,58.8,2200,<0.01,--,0.064,--,0.76,--,<0.001,<0.003,<0.002,0.0006,<0.0003,<0.001,0.010,0.012,<0.001,--,--,--,--,--
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/5/10 上午 10:12:00,1214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/4/8 下午 01:18:00,1214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/3/9 下午 01:30:00,1214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/2/8 下午 01:02:00,1214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),甲,2017/1/4 下午 12:52:00,1214,1.0,26.3,25.9,8.8,349,--,9.3,114.2,<1.0,<4.0,2.2,340,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/12/1 下午 02:53:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/11/6 上午 11:54:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/10/6 上午 11:50:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/9/7 下午 12:55:00,1213,1.0,31.3,30.1,8.7,276,--,8.1,107.7,<1.0,<4.0,10.2,170,<0.01,--,0.014,--,0.52,--,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.012,0.008,<0.001,--,--,--,--,--
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/8/22 下午 01:00:00,1213,3.3,27.2,26.1,8.3,206,--,7.8,96.1,<1.0,8.4,1920,33000,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/7/7 上午 11:12:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/6/3 下午 01:30:00,1213,1.0,29.6,27.6,8.5,351,--,8.4,107.3,<1.0,5.1,18.1,1700,0.11,--,0.050,--,1.11,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.007,0.011,0.018,<0.001,--,--,--,--,--
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/5/10 上午 10:28:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/4/8 下午 01:38:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/3/9 下午 01:54:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/2/8 下午 01:22:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
率芒溪流域,率芒溪,屏東縣,枋寮大橋,甲,2017/1/4 下午 01:23:00,1213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,無水可採
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/12/1 上午 10:00:00,1211,5.5,32.5,26.8,7.8,560,--,5.3,66.0,13.5,35.6,37.7,440000,5.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/11/6 下午 02:33:00,1211,1.5,26.9,25.7,8.0,395,--,8.0,98.2,2.8,7.9,18.9,180000,0.79,--,0.228,--,0.96,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.003,0.008,0.053,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/10/6 下午 12:30:00,1211,1.0,35.4,32.6,8.4,442,--,9.0,124.7,1.1,<4.0,7.3,24000,0.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/9/7 下午 03:45:00,1211,2.3,32.2,31.2,8.1,361,--,6.8,92.2,1.0,7.7,79.0,5000,0.39,--,0.216,--,1.11,--,<0.001,0.010,<0.002,0.0009,<0.0003,0.011,0.043,0.331,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/8/22 下午 03:10:00,1211,3.3,25.9,25.1,8.2,251,--,7.6,92.6,<1.0,36.5,2780,27000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/7/7 下午 12:15:00,1211,1.5,31.6,32.7,8.2,383,--,7.3,101.2,<1.0,<4.0,47.0,230,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/6/3 上午 10:00:00,1211,3.3,29.6,26.2,8.0,220,--,7.6,95.2,<1.0,41.6,2990,3000,0.05,--,0.053,--,0.59,--,<0.001,0.057,<0.002,0.0221,<0.0003,0.062,0.198,3.01,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/5/10 上午 10:58:00,1211,1.5,33.5,31.8,8.2,563,--,9.2,125.3,<1.0,28.8,46.1,250,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/4/8 上午 10:00:00,1211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/3/9 上午 11:10:00,1211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/2/8 上午 10:30:00,1211,2.8,27.2,24.6,8.2,481,--,9.2,110.6,1.8,7.6,68.5,2800,0.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2017/1/4 下午 03:40:00,1211,5.0,27.3,25.0,8.1,467,--,7.2,86.9,4.5,12.7,162,47000,2.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/12/1 上午 11:05:00,1212,5.0,32.4,25.4,8.1,532,--,6.3,77.3,1.1,7.5,126,19000,1.60,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/11/6 下午 01:50:00,1212,2.3,25.7,25.3,8.0,420,--,7.2,88.0,1.9,7.0,53.7,95000,0.44,4.8,1.86,--,1.23,--,<0.001,0.005,<0.002,0.0013,<0.0003,0.004,0.012,0.078,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/10/6 下午 01:40:00,1212,3.3,35.4,34.6,8.1,562,--,6.1,87.5,2.3,16.6,52.6,5300,0.75,29.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/9/7 下午 02:50:00,1212,2.3,33.0,32.3,8.1,432,--,6.6,91.1,<1.0,5.0,92.3,5800,0.21,5.6,0.081,--,0.86,--,<0.001,<0.003,<0.002,0.0009,<0.0003,0.005,0.018,0.246,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/8/22 下午 02:40:00,1212,3.3,26.4,25.9,8.1,241,--,6.8,84.1,1.2,31.2,3400,40000,0.10,<1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/7/7 下午 01:45:00,1212,2.3,32.8,32.4,8.2,420,--,6.9,94.9,<1.0,4.6,82.5,3600,0.32,5.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/6/3 上午 09:00:00,1212,3.3,30.6,26.7,8.1,236,--,7.5,93.9,<1.0,38.4,2050,850,0.09,<1.5,0.117,--,0.52,--,<0.001,0.076,<0.002,0.0408,<0.0003,0.079,0.270,3.56,<0.001,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/5/10 下午 01:43:00,1212,5.0,34.5,35.3,8.5,1560,--,10.3,148.5,9.7,49.8,32.0,9500,3.66,292,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/4/8 上午 11:10:00,1212,5.8,31.8,30.5,8.5,888,--,10.7,142.6,13.2,38.8,78.3,7000,7.42,92.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/3/9 上午 10:20:00,1212,4.5,26.8,24.3,8.0,645,--,7.8,92.8,2.3,12.6,59.8,3500,6.06,22.7,0.711,3.46,0.84,0.088,<0.001,<0.003,<0.002,0.0033,<0.0003,0.002,0.009,0.234,<0.001,<0.001,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/2/8 上午 10:00:00,1212,5.0,25.8,23.3,8.0,539,--,7.8,90.7,3.5,13.6,117,23000,2.89,8.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2017/1/4 下午 04:41:00,1212,5.0,25.3,25.0,8.1,519,--,6.8,83.1,4.6,13.2,109,53000,1.23,6.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/12/7 上午 09:45:00,1206,1.5,26.6,24.0,7.1,282,--,6.6,79.0,1.1,<4.0,28.2,24000,0.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/11/3 上午 09:10:00,1206,1.0,30.6,26.7,7.4,271,--,6.5,81.1,1.7,4.6,16.8,7200,0.41,--,0.277,--,2.54,--,<0.001,<0.003,<0.002,0.0008,<0.0003,0.001,0.008,0.132,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/10/6 上午 09:40:00,1206,1.0,31.0,29.1,7.5,253,--,7.2,93.8,1.1,5.4,5.2,4000,0.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/9/1 上午 09:00:00,1206,2.8,26.7,26.2,7.1,205,--,4.8,60.7,2.4,6.6,7.4,240000,1.10,--,0.370,--,3.49,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.001,0.015,0.067,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/8/9 上午 11:10:00,1206,2.0,34.5,29.4,7.1,193,--,6.3,82.8,<1.0,<4.0,5.0,11000,0.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/7/4 下午 01:20:00,1206,3.3,35.4,31.2,7.3,286,--,5.9,80.0,1.7,6.2,33.9,44000,1.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/6/3 上午 10:42:00,1206,3.3,29.9,25.9,7.8,113,--,7.6,95.2,1.3,25.6,608,41000,0.17,--,0.082,--,1.34,--,<0.001,0.023,<0.002,0.0099,<0.0003,0.029,0.109,0.704,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/5/8 上午 09:00:00,1206,3.8,28.7,28.1,7.3,326,--,5.8,73.6,2.0,10.6,18.6,4000,3.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/4/8 下午 12:16:00,1206,2.3,33.0,30.0,7.3,352,--,7.1,93.9,1.9,11.3,7.2,1500,2.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/3/9 上午 11:20:00,1206,3.3,29.6,27.2,7.2,299,--,6.5,81.3,2.8,12.8,13.9,2800,4.13,--,0.904,2.70,0.53,0.099,<0.001,0.003,<0.002,0.0014,<0.0003,0.002,0.027,0.360,<0.001,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/2/10 下午 12:30:00,1206,4.3,18.3,23.9,7.2,389,--,6.0,71.4,3.9,13.2,10.0,4600,4.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2017/1/4 下午 12:40:00,1206,2.3,26.8,27.8,7.2,321,--,6.9,87.4,1.6,5.4,10.5,2500,1.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/12/7 上午 10:18:00,1207,1.5,26.6,24.6,7.3,372,--,6.6,79.7,2.0,4.6,18.2,21000,0.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/11/3 上午 10:08:00,1207,1.0,31.7,27.0,7.6,349,--,7.0,87.6,1.4,4.1,17.4,6700,0.41,--,0.213,--,2.80,--,<0.001,<0.003,<0.002,0.0011,<0.0003,0.002,0.008,0.162,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/10/6 上午 10:40:00,1207,1.0,32.5,29.4,7.8,335,--,6.7,87.3,1.2,5.5,9.3,57000,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/9/1 上午 09:45:00,1207,3.3,26.9,26.4,7.4,314,--,5.4,66.3,2.4,12.3,46.6,350000,1.48,--,0.348,--,3.22,--,0.001,0.020,<0.002,0.0013,<0.0003,0.003,0.025,0.138,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/8/9 上午 11:55:00,1207,4.3,34.8,30.0,7.3,264,--,6.0,80.2,1.2,<4.0,44.6,23000,3.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/7/4 下午 02:00:00,1207,3.8,35.6,31.8,7.5,313,--,5.8,78.6,1.4,18.3,147,30000,0.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/6/3 上午 11:40:00,1207,3.3,29.4,26.4,7.6,122,--,6.7,83.6,1.8,30.6,733,77000,0.19,--,0.106,--,1.26,--,<0.001,0.016,<0.002,0.0080,<0.0003,0.021,0.085,0.683,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/5/8 上午 10:00:00,1207,3.3,31.6,29.6,7.5,452,--,5.8,75.7,2.4,10.8,21.1,34000,2.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/4/8 下午 12:47:00,1207,2.8,30.6,29.7,7.6,421,--,6.4,84.0,1.9,11.1,13.0,8100,2.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/3/9 下午 12:20:00,1207,2.8,27.3,26.7,7.4,408,--,5.9,73.3,1.4,8.4,7.7,5100,2.27,--,0.543,2.37,1.64,0.217,<0.001,<0.003,<0.002,0.0014,<0.0003,0.001,0.018,0.407,<0.001,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/2/10 下午 01:30:00,1207,2.8,18.6,22.4,7.3,465,--,6.1,70.2,2.0,8.8,13.3,25000,1.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2017/1/4 下午 01:40:00,1207,2.8,26.3,26.7,7.5,390,--,6.3,77.8,1.6,6.0,15.3,9300,1.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/12/7 上午 11:00:00,1208,5.5,26.9,24.6,7.6,572,--,4.7,56.0,4.8,25.3,57.6,30000,4.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/11/3 上午 11:10:00,1208,4.8,32.7,27.7,7.7,574,--,5.2,65.5,3.9,19.6,46.2,61000,3.08,--,0.655,--,1.84,--,<0.001,0.003,<0.002,0.0028,<0.0003,0.004,0.019,0.256,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/10/6 上午 11:45:00,1208,3.8,34.0,30.4,7.8,519,--,5.2,69.2,3.8,18.6,28.2,62000,2.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/9/1 上午 10:30:00,1208,6.0,26.8,26.6,7.5,427,--,4.2,53.0,6.1,28.2,88.0,710000,2.63,--,0.267,--,2.55,--,<0.001,0.004,<0.002,0.0026,<0.0003,0.008,0.053,0.217,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/8/9 下午 01:15:00,1208,4.5,35.3,30.7,7.5,430,--,5.6,75.0,3.1,14.0,63.7,93000,1.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/7/4 下午 03:00:00,1208,3.3,30.2,31.0,7.6,480,--,4.6,61.9,3.5,20.3,20.0,120000,2.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/6/3 下午 01:00:00,1208,5.5,30.5,27.3,7.5,187,--,4.7,59.7,3.8,21.6,654,500000,1.40,--,0.109,--,1.19,--,<0.001,0.022,<0.002,0.0096,<0.0003,0.033,0.142,0.762,<0.001,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2017/5/8 上午 10:40:00,1208,6.3,32.5,29.7,7.6,653,--,3.8,50.2,5.4,29.8,44.3,51000,6.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
