採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,貢寮大橋,甲,2017/5/3 上午 08:45:00,1035,1.0,25.6,24.2,7.3,116,--,9.1,108.2,<1.0,7.0,3.4,6200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2017/4/10 上午 08:45:00,1035,1.0,25.3,25.0,7.5,122,--,8.6,105.3,1.1,<4.0,2.0,500,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2017/3/7 上午 08:45:00,1035,1.0,15.8,16.0,7.3,114,--,9.6,96.9,<1.0,6.7,1.8,7800,0.03,--,0.045,0.69,0.77,0.010,<0.001,<0.003,<0.002,0.0004,<0.0003,0.002,0.009,0.007,<0.001,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2017/2/10 上午 08:45:00,1035,1.0,11.7,13.7,7.2,114,--,10.2,97.0,<1.0,<4.0,1.4,4200,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2017/1/4 上午 08:45:00,1035,1.0,19.7,19.9,7.6,108,--,9.1,100.1,1.1,<4.0,3.6,5900,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/12/7 上午 11:35:00,1332,1.0,16.2,17.8,7.9,121,--,9.5,99.6,<1.0,<4.0,1.6,1700,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/11/9 上午 10:05:00,1332,1.0,23.0,21.0,8.0,124,--,9.1,102.1,<1.0,4.4,2.0,3700,0.02,--,0.010,--,0.56,--,<0.001,0.004,<0.002,0.0004,<0.0003,<0.001,0.006,<0.005,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/10/22 上午 10:45:00,1332,1.0,26.0,19.8,7.7,111,--,9.3,103.2,<1.0,<4.0,3.1,480,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/9/16 下午 02:55:00,1332,1.0,34.3,24.9,8.0,139,--,8.0,97.7,<1.0,<4.0,<1.0,380,<0.01,--,0.041,--,0.54,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.006,<0.005,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/8/4 上午 11:05:00,1332,1.0,31.8,27.0,7.9,157,--,9.3,117.0,<1.0,5.7,<1.0,650,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/7/4 上午 07:25:00,1332,1.0,29.4,23.7,7.9,161,--,8.9,106.3,<1.0,<4.0,1.8,2700,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/6/7 上午 11:25:00,1332,1.0,31.2,24.9,7.7,112,--,8.4,101.4,<1.0,<4.0,7.0,5100,0.02,--,0.017,--,0.76,--,<0.001,0.004,<0.002,<0.0003,<0.0003,<0.001,0.012,0.008,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/5/5 下午 12:05:00,1332,1.0,31.8,23.7,8.2,143,--,8.8,103.9,<1.0,5.5,1.4,320,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/4/17 下午 01:25:00,1332,1.0,28.7,22.7,8.4,150,--,9.1,106.5,<1.0,6.6,1.3,340,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/3/9 上午 07:35:00,1332,1.0,13.9,14.8,8.0,151,--,10.0,99.2,<1.0,<4.0,<1.0,350,<0.01,--,0.064,0.45,0.68,0.006,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,<0.002,0.008,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/2/8 上午 11:55:00,1332,1.0,21.4,18.6,8.5,150,--,10.2,108.3,<1.0,<4.0,<1.0,80,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2017/1/6 上午 10:05:00,1332,1.0,24.5,20.0,8.2,141,--,9.2,102.3,<1.0,4.7,<1.0,420,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/12/7 下午 12:25:00,1221,2.0,16.8,20.5,7.1,177,--,5.8,63.9,2.7,10.1,10.2,100000,0.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/11/9 上午 10:55:00,1221,2.0,23.7,22.8,7.2,188,--,5.2,60.7,1.3,9.8,17.2,170000,0.72,--,0.164,--,0.48,--,<0.001,0.004,<0.002,0.0019,<0.0003,0.002,0.016,0.082,<0.001,--,--,--,--,--
