採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2018/5/3 下午 04:20:00,1212,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2018/4/11 上午 09:40:00,1212,5.0,31.9,28.2,8.49,10000,--,15.9,212.0,10.4,26.3,37.6,2500,3.17,3070,0.530,--,0.68,--,<0.001,<0.003,<0.002,0.0042,<0.0003,0.002,0.006,0.323,<0.001,<0.005,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2018/3/6 下午 04:40:00,1212,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2018/2/5 下午 04:30:00,1212,2.8,13.5,15.9,8.18,4930,--,8.2,84.3,2.1,13.8,37.4,19000,1.86,1400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2018/1/11 上午 09:50:00,1212,4.3,16.4,18.7,8.00,1270,--,6.4,68.4,2.5,15.8,32.7,33000,6.54,214,0.961,3.16,0.97,0.285,<0.001,<0.003,<0.002,0.0014,<0.0003,0.003,0.017,0.274,<0.001,--,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/12/5 下午 12:40:00,1686,2.3,29.1,28.5,7.19,272,--,6.7,85.6,1.7,8.4,7.0,7000,1.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/11/1 上午 10:45:00,1686,2.0,28.0,26.7,7.35,249,--,5.2,64.4,2.2,5.3,9.4,36000,0.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/10/2 上午 10:10:00,1686,2.0,33.1,28.2,7.10,209,--,6.2,79.1,<1.0,<4.0,22.9,36000,0.38,--,0.183,--,3.14,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.005,0.043,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/9/12 上午 10:10:00,1686,2.0,32.8,28.5,7.20,191,--,6.2,80.3,1.1,4.2,29.1,48000,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/8/10 上午 09:10:00,1686,3.3,33.0,28.3,7.29,218,--,6.4,83.0,1.1,6.1,21.9,67000,1.00,--,0.460,--,2.83,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.005,0.042,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/7/20 上午 10:00:00,1686,2.0,33.6,28.7,7.22,216,--,6.1,80.2,1.4,4.3,6.6,50000,0.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/6/8 上午 11:00:00,1686,2.8,35.6,30.6,7.38,467,--,6.1,81.8,1.8,8.6,18.6,26000,2.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/5/3 上午 11:20:00,1686,3.3,33.6,29.8,7.51,366,--,6.9,91.0,2.5,12.2,9.8,50000,7.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,成德大橋,乙,2018/4/11 上午 11:30:00,1686,3.3,31.8,30.2,7.51,383,--,8.2,108.4,2.9,16.0,9.2,17000,8.88,--,1.47,--,0.87,--,<0.001,<0.003,<0.002,0.0027,<0.0003,0.003,0.018,0.277,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/12/5 下午 01:40:00,1206,2.0,30.8,28.8,7.16,251,--,6.4,83.5,1.6,9.6,5.5,2800,0.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/11/1 上午 11:20:00,1206,2.0,28.3,27.0,7.16,240,--,5.8,72.5,1.0,<4.0,8.9,23000,0.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/10/2 上午 11:10:00,1206,3.3,33.0,28.5,7.26,219,--,6.2,80.6,1.4,4.1,67.7,28000,0.68,--,0.360,--,2.80,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.010,0.087,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/9/12 上午 11:10:00,1206,2.0,33.7,29.4,7.29,196,--,6.0,79.4,<1.0,4.8,38.7,52000,0.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/8/10 上午 10:10:00,1206,2.0,35.1,29.2,7.28,235,--,6.4,84.6,1.3,4.9,23.3,44000,0.45,--,0.230,--,2.93,--,<0.001,<0.003,<0.002,0.0009,<0.0003,0.001,0.008,0.068,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/7/20 上午 10:40:00,1206,2.0,35.0,29.8,7.22,219,--,5.8,77.5,1.2,4.7,7.5,28000,0.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/6/8 上午 11:40:00,1206,2.8,35.4,30.8,7.23,420,--,6.4,85.2,1.4,6.0,8.7,17000,1.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/5/3 下午 12:00:00,1206,3.8,32.5,30.7,7.11,328,--,6.1,82.3,1.4,9.3,8.0,15000,3.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/4/11 下午 12:15:00,1206,3.8,31.9,30.5,7.29,337,--,6.1,81.2,1.5,5.4,6.0,9000,4.31,--,0.710,--,0.71,--,<0.001,<0.003,<0.002,0.0019,<0.0003,0.002,0.013,0.474,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/3/6 下午 12:40:00,1206,3.8,24.9,25.3,7.41,309,--,5.8,70.0,<1.0,7.3,9.6,3400,3.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/2/5 下午 12:20:00,1206,2.8,15.6,19.8,7.53,374,--,4.0,43.9,1.4,<4.0,9.5,20000,0.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2018/1/5 上午 09:30:00,1206,3.3,21.8,22.8,7.30,370,--,5.7,66.5,2.4,6.0,37.6,50000,1.39,--,0.352,2.71,1.42,0.092,<0.001,<0.003,<0.002,0.0013,<0.0003,0.003,0.021,0.219,<0.001,--,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/12/5 下午 02:40:00,1207,1.0,29.6,28.5,7.32,339,--,6.9,89.5,1.8,6.2,11.5,16000,0.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/11/1 下午 12:10:00,1207,2.0,28.4,26.5,7.51,319,--,5.8,72.6,1.2,6.5,20.7,31000,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/10/2 上午 11:50:00,1207,1.5,33.2,28.8,7.51,317,--,6.6,85.4,1.1,5.6,24.2,33000,0.20,--,0.280,--,3.72,--,<0.001,<0.003,<0.002,0.0008,<0.0003,0.002,0.007,0.093,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/9/12 下午 12:12:00,1207,2.0,32.9,30.7,7.36,288,--,5.9,79.1,1.2,4.8,29.4,33000,0.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/8/10 上午 11:10:00,1207,2.3,35.6,29.5,7.41,285,--,6.5,86.2,1.4,6.7,57.3,33000,0.25,--,0.226,--,3.29,--,<0.001,<0.003,<0.002,0.0013,<0.0003,0.002,0.012,0.132,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/7/20 上午 11:23:00,1207,2.0,35.6,30.1,7.36,292,--,5.9,79.6,1.3,8.9,46.6,35000,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/6/8 下午 12:30:00,1207,2.0,35.6,31.7,7.44,449,--,6.2,84.3,1.3,6.4,14.3,7800,0.80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/5/3 下午 12:40:00,1207,2.5,33.5,30.1,7.31,460,--,6.0,79.9,1.8,9.9,27.7,19000,0.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/4/11 下午 12:50:00,1207,2.8,31.8,30.2,7.51,420,--,6.0,79.2,1.1,5.2,10.9,7000,1.08,--,0.324,--,1.57,--,<0.001,<0.003,<0.002,0.0020,<0.0003,<0.001,0.005,0.375,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/3/6 下午 01:40:00,1207,2.8,24.7,25.5,7.34,409,--,6.2,76.6,1.0,11.9,14.1,8800,1.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/2/5 下午 01:20:00,1207,2.3,16.0,19.7,7.40,408,--,7.0,75.8,1.6,5.9,13.4,40000,1.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2018/1/5 上午 10:30:00,1207,2.8,22.8,23.5,7.47,399,--,5.7,66.6,1.5,10.4,19.0,73000,1.51,--,0.357,2.74,2.18,0.192,<0.001,<0.003,<0.002,0.0017,<0.0003,0.002,0.012,0.255,<0.001,--,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/12/5 下午 03:40:00,1208,8.0,29.7,27.2,7.14,564,--,4.1,51.8,12.1,85.4,113,230000,4.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/11/1 下午 02:00:00,1208,3.3,30.6,26.2,7.66,529,--,4.8,59.5,3.0,15.4,42.5,71000,2.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/10/2 下午 01:21:00,1208,4.0,30.6,27.9,7.67,495,--,5.2,66.9,2.4,12.6,52.9,110000,1.61,--,0.560,--,3.12,--,<0.001,<0.003,<0.002,0.0020,<0.0003,0.003,0.016,0.213,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/9/12 下午 01:20:00,1208,4.0,33.2,29.9,7.51,464,--,4.9,64.7,2.4,11.9,62.4,41000,1.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/8/10 下午 12:10:00,1208,4.5,35.9,29.7,7.62,483,--,4.9,65.2,4.1,18.2,61.1,19000,2.23,--,0.510,--,2.55,--,<0.001,<0.003,<0.002,0.0028,<0.0003,0.003,0.016,0.222,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/7/20 下午 01:15:00,1208,4.5,35.7,30.8,7.52,455,--,4.6,63.0,3.5,19.5,70.7,430000,1.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/6/8 下午 02:20:00,1208,6.3,34.4,32.1,7.61,671,--,3.1,42.6,6.4,28.2,33.4,71000,6.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/5/3 下午 01:20:00,1208,6.3,33.7,30.3,7.52,690,--,3.4,43.8,6.8,32.1,28.1,70000,7.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/4/11 下午 02:30:00,1208,6.3,31.9,30.9,7.66,709,--,3.0,40.3,8.6,45.3,46.5,170000,7.48,--,1.37,--,0.76,--,<0.001,<0.003,<0.002,0.0046,<0.0003,0.011,0.044,0.440,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/3/6 下午 02:45:00,1208,7.0,25.6,25.8,7.51,660,--,3.3,39.9,7.8,42.8,66.0,110000,8.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/2/5 下午 02:20:00,1208,6.3,15.7,18.7,7.70,686,--,4.8,50.7,6.0,30.0,71.9,90000,5.40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,興社大橋,乙,2018/1/5 上午 11:30:00,1208,7.0,26.3,23.7,7.58,575,--,3.3,39.4,7.1,36.5,63.9,270000,5.52,--,0.744,5.65,1.28,0.200,<0.001,0.005,<0.002,0.0038,<0.0003,0.011,0.060,0.350,<0.001,--,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/12/5 下午 04:40:00,1209,5.0,26.2,26.6,7.44,618,--,3.4,42.4,4.6,17.7,17.1,44000,4.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/11/1 下午 02:45:00,1209,4.5,27.8,26.1,7.70,543,--,4.4,54.6,2.5,13.2,16.1,37000,3.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/10/2 下午 02:20:00,1209,4.0,32.7,28.0,7.70,502,--,4.4,56.3,2.5,9.1,26.4,220000,1.90,--,0.565,--,2.96,--,<0.001,<0.003,<0.002,0.0025,<0.0003,0.006,0.023,0.216,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/9/12 下午 02:20:00,1209,2.8,33.2,30.1,7.56,486,--,5.0,66.6,2.5,10.7,18.7,87000,1.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/8/10 下午 01:10:00,1209,5.5,35.9,29.7,7.69,504,--,4.4,58.3,3.7,16.7,40.4,220000,3.02,--,0.590,--,2.32,--,<0.001,<0.003,<0.002,0.0034,<0.0003,0.004,0.019,0.249,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/7/20 下午 01:55:00,1209,4.5,35.3,30.1,7.56,419,--,4.5,60.2,3.8,16.8,21.5,350000,2.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/6/8 下午 03:10:00,1209,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/5/3 下午 02:10:00,1209,6.8,33.6,30.9,7.41,1300,--,0.8,10.9,9.9,35.0,11.4,290000,9.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/4/11 下午 03:30:00,1209,7.3,32.0,28.9,7.58,1060,--,0.9,11.6,10.7,37.8,22.0,430000,9.85,--,1.80,--,0.02,--,<0.001,<0.003,<0.002,0.0043,<0.0003,0.006,0.018,0.409,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/3/6 下午 03:40:00,1209,6.8,25.4,27.1,7.44,761,--,1.8,22.1,11.0,40.3,16.0,380000,10.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/2/5 下午 03:20:00,1209,5.8,15.4,16.9,7.68,699,--,2.4,24.4,7.5,27.8,16.4,230000,7.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2018/1/5 下午 12:30:00,1209,4.3,26.0,24.2,7.60,664,--,4.8,56.6,4.4,18.6,10.1,57000,6.79,--,0.939,5.69,0.80,0.183,<0.001,<0.003,<0.002,0.0034,<0.0003,0.004,0.018,0.313,<0.001,--,<0.001,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/12/5 上午 11:10:00,1210,5.0,28.1,27.4,7.58,19600,--,2.8,41.1,2.7,15.7,39.5,13000,3.25,6650,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/11/1 上午 09:15:00,1210,3.5,26.3,26.4,7.58,19000,--,3.6,48.7,1.6,8.4,11.4,48000,1.92,6820,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/10/2 上午 08:42:00,1210,4.0,32.5,28.7,7.50,19700,--,2.5,37.2,1.5,13.3,25.4,180000,1.52,7100,0.455,--,1.94,--,<0.001,<0.003,<0.002,0.0022,<0.0003,0.007,0.019,0.187,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/9/12 下午 03:15:00,1210,2.8,30.5,29.6,7.65,2920,--,5.4,71.0,2.1,15.2,17.6,63000,1.53,750,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/8/10 下午 02:10:00,1210,4.5,36.2,30.3,7.64,2210,--,4.5,61.0,3.4,14.2,28.1,92000,2.39,540,0.570,--,2.17,--,<0.001,<0.003,<0.002,0.0035,<0.0003,0.004,0.017,0.217,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/7/20 上午 08:40:00,1210,5.0,32.2,28.3,7.56,11200,--,1.9,24.3,2.3,16.3,27.9,78000,1.77,3610,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/6/8 上午 09:30:00,1210,6.0,32.6,30.5,7.53,24800,--,1.8,27.6,4.3,18.6,10.1,44000,3.71,8590,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/5/3 下午 04:30:00,1210,5.0,29.5,30.5,7.74,21300,--,5.8,83.3,8.7,28.4,14.1,9200,5.48,7120,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/4/11 上午 09:40:00,1210,5.5,30.2,27.9,7.56,29900,--,1.3,20.0,2.9,13.8,9.8,21000,4.16,10100,0.770,--,0.02,--,<0.001,<0.003,<0.002,0.0032,<0.0003,0.006,0.015,0.369,<0.001,<0.005,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/3/6 下午 04:50:00,1210,5.0,24.9,25.2,7.52,25600,--,2.4,32.9,3.1,15.3,15.2,46000,5.17,8050,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/2/5 下午 04:30:00,1210,5.8,15.2,20.3,7.79,26800,--,3.3,43.2,2.4,12.4,61.3,58000,4.32,10100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
東港溪流域,東港溪,屏東縣,東港大橋,丙,2018/1/5 下午 02:00:00,1210,5.0,26.3,24.5,7.58,10700,--,2.3,28.7,3.3,17.5,16.9,54000,6.22,3270,0.991,6.71,0.58,0.148,<0.001,<0.003,<0.002,0.0034,<0.0003,0.006,0.018,0.218,<0.001,--,<0.001,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/12/4 下午 04:00:00,1333,2.8,29.6,28.1,7.59,729,--,5.4,69.4,2.9,12.4,17.0,120000,2.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/11/6 下午 12:00:00,1333,4.3,33.4,30.0,7.83,776,--,5.3,70.1,4.4,14.7,18.9,39000,3.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/10/1 下午 03:00:00,1333,3.3,30.5,29.1,7.68,683,--,5.7,74.0,2.0,6.8,30.0,310000,1.74,--,0.380,--,1.55,--,<0.001,0.003,<0.002,0.0026,<0.0003,0.002,0.015,0.281,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/9/21 上午 11:30:00,1333,5.5,34.2,30.8,7.51,773,--,3.1,42.0,3.6,13.7,23.8,370000,3.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/8/1 下午 03:50:00,1333,5.0,35.9,33.6,7.71,881,--,4.3,60.5,3.5,9.4,8.6,110000,4.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/7/17 下午 04:15:00,1333,4.5,34.5,32.8,7.65,807,--,4.2,58.7,2.5,11.4,10.0,190000,4.46,--,0.700,--,0.66,--,<0.001,0.005,<0.002,0.0030,<0.0003,0.002,0.012,0.339,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/6/1 下午 02:50:00,1333,6.0,30.5,30.4,7.86,943,--,5.7,76.6,20.2,62.2,16.3,1500000,14.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/5/2 下午 02:25:00,1333,5.5,36.0,35.9,8.38,824,--,11.6,170.7,18.1,96.7,17.6,1500000,15.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/4/2 下午 01:30:00,1333,6.0,29.8,31.5,8.24,922,--,9.0,121.1,26.7,78.8,23.0,2700000,21.1,--,2.08,--,0.20,--,<0.001,<0.003,<0.002,0.0017,<0.0003,0.008,0.026,0.101,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/3/5 下午 02:50:00,1333,6.8,34.9,33.2,8.26,1080,--,8.0,111.4,23.9,114,85.0,2900000,19.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/2/2 下午 03:10:00,1333,6.0,24.5,25.0,8.18,1150,--,7.0,84.3,30.5,101,38.9,5700000,14.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2018/1/10 下午 03:00:00,1333,6.3,18.7,21.7,7.82,730,--,4.2,47.4,8.6,15.0,46.3,250000,7.53,--,1.01,5.49,0.77,0.298,<0.001,<0.003,<0.002,0.0020,<0.0003,0.005,0.038,0.139,<0.001,--,<0.001,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/12/4 下午 02:50:00,1334,5.5,32.6,26.9,7.51,644,--,5.0,62.0,6.8,24.6,23.6,200000,4.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/11/6 上午 10:50:00,1334,5.0,32.3,26.8,7.73,667,--,5.3,65.9,6.7,22.5,18.1,120000,4.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/10/1 下午 02:02:00,1334,3.8,34.5,28.3,7.74,620,--,5.8,75.7,3.8,16.0,33.8,57000,2.71,--,0.730,--,2.47,--,<0.001,<0.003,<0.002,0.0017,<0.0003,0.003,0.012,0.096,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/9/21 上午 10:50:00,1334,5.0,33.7,28.4,7.68,650,--,5.8,75.2,7.3,21.3,17.4,420000,3.40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/8/1 下午 02:40:00,1334,5.5,35.8,30.7,7.69,670,--,5.6,76.4,8.3,24.9,21.9,95000,4.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/7/17 下午 03:10:00,1334,5.5,33.8,31.3,7.59,625,--,4.6,62.5,9.9,31.1,36.4,220000,5.29,--,1.10,--,1.35,--,<0.001,<0.003,<0.002,0.0014,<0.0003,0.004,0.020,0.112,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2018/6/1 下午 01:40:00,1334,8.0,34.2,31.4,7.59,733,--,2.8,38.0,26.2,98.1,53.0,2000000,15.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
