採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
阿公店水庫,高雄市,阿公店水庫三,乙,2018/10/25 下午 02:42:00,2077,--,6.6,32.9,28.2,8.44,370,--,7.0,89.9,--,6.4,0.015,--,3.9,6.1,7.0,0.02,--,--,--,--,1.91,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2018/9/21 下午 02:10:00,2077,59,0.5,34.5,32.1,8.56,353,--,8.3,114.2,0.7,9.8,0.047,--,29,18.0,7.4,0.02,--,--,--,--,1.76,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2018/9/21 下午 02:15:00,2077,--,4.8,34.5,28.6,8.01,350,--,6.3,81.3,--,7.6,0.050,--,34,22.4,5.6,0.02,--,--,--,--,1.56,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/8/3 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/8/3 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/7/12 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫三,甲,2018/7/12 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫三,甲,2018/6/4 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫三,甲,2018/6/4 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫三,甲,2018/5/3 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/5/3 上午 12:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/4/18 上午 10:53:00,2077,56,0.5,30.8,28.1,8.36,503,--,7.3,93.6,0.6,4.6,0.037,--,20,21.1,4.9,0.02,--,--,--,--,2.34,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/4/18 上午 10:58:00,2077,--,2.4,30.8,27.7,8.34,500,--,6.8,86.5,--,4.2,0.012,--,22,23.9,5.0,0.03,--,--,--,--,2.48,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/2/9 上午 09:44:00,2077,57,0.5,21.0,17.8,8.40,479,--,8.4,88.7,0.5,2.5,0.051,--,16,14.2,4.3,0.03,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2018/2/9 上午 09:47:00,2077,--,6.4,21.0,17.8,8.40,478,--,9.0,95.2,--,2.9,0.054,--,17,13.9,6.6,0.04,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,乙,2018/12/4 上午 09:00:00,2087,51,0.5,25.5,22.2,7.96,145,--,8.0,93.2,2.2,6.5,0.036,--,1.2,2.0,8.5,0.01,--,--,--,--,1.15,--,--
新山水庫,基隆市,新山水庫一,乙,2018/11/6 上午 09:00:00,2087,40,0.5,25.2,22.6,7.35,142,--,6.9,79.8,2.8,1.4,0.012,--,2.4,1.5,7.4,0.07,--,--,--,--,1.52,--,--
新山水庫,基隆市,新山水庫一,乙,2018/10/4 上午 09:00:00,2087,50,0.5,25.2,24.8,7.56,148,--,6.8,83.3,1.8,10.1,0.017,--,1.6,2.8,7.0,0.02,--,--,--,--,1.78,--,--
新山水庫,基隆市,新山水庫一,乙,2018/9/3 上午 08:03:00,2087,45,0.5,31.8,30.2,7.21,193,--,7.9,106.3,3.4,2.7,0.029,--,1.3,2.0,11.6,0.04,--,--,--,--,2.02,--,--
新山水庫,基隆市,新山水庫一,甲,2018/8/1 上午 11:00:00,2087,41,0.5,34.2,32.9,8.56,152,--,8.0,111.7,2.8,0.9,0.023,--,2.0,2.4,11.3,0.02,--,--,--,--,2.69,--,--
新山水庫,基隆市,新山水庫一,甲,2018/7/9 上午 08:57:00,2087,41,0.5,31.2,28.9,8.92,159,--,8.8,115.0,1.6,1.1,0.010,--,2.8,2.1,10.3,0.02,--,--,--,--,1.94,--,--
新山水庫,基隆市,新山水庫一,甲,2018/6/11 上午 08:55:00,2087,50,0.5,26.2,28.8,9.39,139,--,9.1,119.6,1.4,3.0,0.028,--,3.3,5.3,9.9,0.07,--,--,--,--,2.44,--,--
新山水庫,基隆市,新山水庫一,甲,2018/5/18 上午 09:04:00,2087,43,0.5,29.4,29.2,9.29,137,--,9.4,122.5,2.0,7.1,0.006,--,3.6,3.6,5.4,0.06,--,--,--,--,2.41,--,--
新山水庫,基隆市,新山水庫一,甲,2018/4/12 上午 09:05:00,2087,42,0.5,22.3,23.6,9.04,155,--,10.4,124.2,2.2,5.0,0.007,--,1.4,3.2,11.0,<0.01,--,--,--,--,1.86,--,--
新山水庫,基隆市,新山水庫一,甲,2018/3/5 上午 09:25:00,2087,45,0.5,23.5,20.5,9.10,132,--,12.1,135.5,1.2,1.1,0.018,--,1.7,2.0,9.2,<0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2018/2/1 上午 10:05:00,2087,50,0.5,11.4,16.4,7.02,133,--,8.5,86.8,1.6,3.1,0.037,--,3.0,3.3,10.2,0.03,--,--,--,--,--,--,--
