採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
阿公店水庫,高雄市,阿公店水庫一,甲,2017/11/15 上午 10:02:00,2075,51,0.5,27.5,26.8,8.2,449,--,7.8,97.8,0.6,1.7,0.023,--,3.7,2.9,6.5,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2017/9/12 上午 10:38:00,2075,54,0.5,30.6,31.4,8.5,415,--,6.8,92.9,0.8,1.8,0.052,--,10,8.7,5.9,0.02,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2017/5/19 上午 09:57:00,2075,66,0.5,32.5,28.2,8.4,467,--,7.6,100.1,0.6,32.4,0.066,--,50,39.6,10.4,0.06,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2017/2/16 上午 10:30:00,2075,51,0.5,24.8,21.8,8.3,447,--,8.7,98.5,0.8,2.6,0.026,--,8.4,7.0,5.6,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫二,甲,2017/11/15 上午 10:42:00,2076,51,0.5,28.8,27.1,8.3,447,--,8.1,101.7,0.6,2.2,0.019,--,2.5,2.8,6.2,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫二,甲,2017/9/12 上午 11:00:00,2076,52,0.5,31.7,31.8,8.5,417,--,6.6,90.4,0.8,2.3,0.030,--,11,7.7,<4.0,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫二,甲,2017/5/19 上午 10:23:00,2076,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,水庫測點水深不足，無法採樣
阿公店水庫,高雄市,阿公店水庫二,甲,2017/2/16 上午 10:45:00,2076,52,0.5,24.9,21.6,8.3,429,--,8.6,96.9,0.7,2.4,0.028,--,8.9,8.3,5.7,0.03,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/11/15 上午 11:20:00,2077,51,0.5,29.5,27.4,8.3,447,--,8.0,100.6,0.6,1.9,0.020,--,2.7,2.8,6.5,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/11/15 下午 12:00:00,2077,--,7.1,29.5,27.3,8.3,448,--,8.0,100.5,--,2.4,0.023,--,5.5,4.6,6.8,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/9/12 上午 11:45:00,2077,56,0.5,32.1,32.9,8.5,420,--,7.4,103.5,0.8,5.7,0.039,--,15,11.6,10.4,<0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/9/12 上午 11:52:00,2077,--,2.8,32.1,31.8,8.4,417,--,6.8,93.9,--,3.5,0.037,--,13,12.8,5.8,0.01,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/5/19 上午 10:46:00,2077,65,0.5,32.6,29.5,8.4,473,--,7.7,101.7,0.6,14.1,0.097,--,55,36.4,12.5,0.03,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/5/19 上午 10:50:00,2077,--,1.4,32.6,28.4,8.4,472,--,6.9,88.9,--,20.8,0.097,--,55,40.0,11.5,0.03,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/2/16 上午 11:05:00,2077,53,0.5,25.0,21.6,8.3,423,--,8.4,95.4,0.6,2.7,0.029,--,11,8.4,6.3,0.02,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫三,甲,2017/2/16 上午 11:10:00,2077,--,5.6,25.0,21.3,8.3,422,--,8.4,94.2,--,2.8,0.033,--,11,8.2,5.6,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/12/4 上午 09:00:00,2087,50,0.5,19.6,21.1,8.0,141,--,7.6,86.7,2.1,5.5,0.032,--,3.0,3.4,5.5,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/11/1 上午 09:01:00,2087,48,0.5,23.3,23.6,7.8,148,--,6.3,73.8,1.1,1.4,0.026,--,2.6,2.2,<4.0,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/10/2 上午 09:05:00,2087,44,0.5,34.2,30.5,9.1,191,--,9.0,120.2,2.6,3.1,0.017,--,1.9,2.0,8.6,0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/9/4 上午 09:05:00,2087,46,0.5,28.9,29.7,7.8,120,--,7.2,95.6,1.8,2.1,0.022,--,2.4,3.8,7.1,0.05,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/8/1 上午 09:00:00,2087,44,0.5,33.3,29.6,8.1,118,--,7.5,100.1,1.5,0.5,0.029,--,4.3,3.5,7.4,0.09,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/7/4 上午 08:59:00,2087,39,0.5,31.9,30.8,8.2,166,--,12.9,175.2,3.1,2.1,0.009,--,1.3,1.4,5.5,0.12,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/6/21 上午 09:05:00,2087,44,0.5,29.0,26.6,8.2,121,--,9.3,115.8,2.0,2.2,0.017,--,1.9,3.0,8.3,0.03,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/5/2 上午 09:02:00,2087,53,0.5,28.3,23.9,7.8,141,--,9.4,112.3,3.1,2.4,0.138,--,1.3,1.4,5.9,0.04,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/4/6 上午 09:07:00,2087,49,0.5,25.4,20.9,9.0,143,--,11.3,128.2,2.0,11.1,0.016,--,2.4,2.6,6.8,0.03,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/3/2 上午 08:54:00,2087,48,0.5,15.8,16.0,7.3,143,--,8.7,88.6,2.1,8.8,0.016,--,1.7,2.0,4.2,0.03,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/2/6 上午 08:50:00,2087,50,0.5,18.0,17.1,7.0,144,--,9.2,95.4,2.4,15.3,0.019,--,2.2,4.0,<4.0,0.03,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫一,甲,2017/1/4 上午 08:59:00,2087,50,0.5,21.2,19.8,7.8,136,--,9.0,97.6,2.4,7.3,0.030,--,1.8,<1.0,4.0,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/12/4 上午 09:10:00,2088,46,0.5,19.6,21.1,8.1,137,--,7.6,85.5,2.0,1.6,0.027,--,3.7,3.8,<4.0,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/11/1 上午 09:12:00,2088,50,0.5,23.2,23.4,7.8,143,--,6.6,77.0,1.1,2.3,0.027,--,1.8,2.0,<4.0,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/10/2 上午 09:20:00,2088,48,0.5,34.3,30.4,9.1,192,--,9.2,121.9,2.5,5.0,0.027,--,1.7,1.8,8.1,0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/9/4 上午 09:13:00,2088,45,0.5,29.0,30.0,7.8,120,--,6.3,83.5,1.7,1.8,0.018,--,2.2,2.8,6.7,0.08,--,--,--,--,--,--,--
