採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
新山水庫,基隆市,新山水庫二,甲,2017/8/1 上午 09:20:00,2088,50,0.5,32.9,29.8,8.0,117,--,7.7,102.5,1.5,5.4,0.021,--,3.8,2.9,9.1,0.09,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/7/4 上午 09:18:00,2088,36,0.5,33.9,31.0,8.5,125,--,13.4,182.1,2.9,0.8,0.009,--,1.4,1.6,4.2,0.03,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/6/21 上午 09:20:00,2088,43,0.5,29.1,26.7,8.1,118,--,9.3,116.7,2.1,1.7,0.017,--,2.0,2.4,7.8,<0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/5/2 上午 09:10:00,2088,42,0.5,28.2,24.2,8.2,140,--,9.4,113.8,3.0,2.1,0.016,--,1.2,1.2,5.1,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/4/6 上午 09:16:00,2088,49,0.5,25.6,21.1,9.0,142,--,11.3,128.7,1.8,10.3,0.015,--,1.7,1.8,8.5,0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/3/2 上午 09:03:00,2088,49,0.5,15.7,16.1,7.4,149,--,8.7,88.7,1.9,8.8,0.016,--,1.6,1.8,4.1,0.05,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/2/6 上午 09:02:00,2088,51,0.5,17.8,17.5,7.2,141,--,10.2,106.8,2.6,16.8,0.021,--,2.1,4.0,<4.0,0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2017/1/4 上午 09:15:00,2088,50,0.5,22.1,19.8,7.6,135,--,9.2,99.6,2.3,7.1,0.026,--,2.0,2.0,<4.0,0.02,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2017/11/1 上午 10:11:00,2089,51,0.5,20.9,20.4,7.7,108,--,6.5,72.4,1.5,4.9,0.030,--,3.1,3.2,<4.0,0.02,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2017/8/1 上午 10:50:00,2089,54,0.5,32.7,29.0,7.5,94,--,6.4,83.2,1.1,6.4,0.034,--,2.9,2.7,8.5,0.13,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2017/5/2 上午 10:10:00,2089,49,0.5,28.2,24.7,7.0,99,--,9.0,109.8,1.8,3.3,0.028,--,1.7,1.9,5.5,0.02,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2017/2/6 上午 10:43:00,2089,50,0.5,18.2,17.6,7.0,85,--,9.9,103.8,2.1,14.7,0.017,--,1.5,3.0,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/12/6 上午 11:03:00,2096,49,0.5,16.9,20.5,7.3,196,--,8.0,89.4,1.2,2.8,0.021,--,7.2,4.2,<4.0,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/11/3 上午 10:59:00,2096,54,0.5,22.8,23.0,8.0,191,--,7.7,90.7,1.3,7.1,0.033,--,17,9.4,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/10/11 上午 11:00:00,2096,47,0.5,31.4,28.9,8.7,224,--,7.6,100.3,2.7,6.4,0.017,--,3.6,3.4,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/9/7 上午 11:51:00,2096,49,0.5,29.8,29.0,8.9,201,--,8.1,106.8,2.0,8.7,0.016,--,2.3,2.2,<4.0,0.05,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/8/2 上午 11:02:00,2096,46,0.5,30.6,29.7,9.2,173,--,8.9,120.6,3.0,7.8,0.014,--,1.7,3.0,6.2,0.05,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/7/4 上午 10:58:00,2096,49,0.5,29.6,29.1,9.0,163,--,9.2,122.2,2.7,7.0,0.027,--,2.3,2.5,6.3,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/6/22 上午 10:57:00,2096,54,0.5,33.0,26.5,9.0,157,--,10.3,130.3,1.0,5.0,0.036,--,4.6,4.1,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/5/2 上午 10:31:00,2096,46,0.5,26.5,23.1,8.5,237,--,8.4,99.9,1.4,3.8,0.012,--,3.3,3.0,4.3,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/4/7 上午 11:14:00,2096,46,0.5,22.0,20.6,7.7,243,--,9.2,104.6,2.4,4.0,0.019,--,4.8,4.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/3/9 上午 11:34:00,2096,56,0.5,14.5,16.3,7.7,234,--,11.4,115.8,0.7,5.0,0.035,--,15,10.3,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/2/7 上午 11:13:00,2096,47,0.5,21.0,18.2,7.1,231,--,8.8,93.3,1.4,2.5,0.018,--,4.0,4.0,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2017/1/6 上午 11:22:00,2096,46,0.5,24.8,20.1,7.2,212,--,9.3,105.8,3.4,7.0,0.017,--,2.9,1.6,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/12/6 上午 10:52:00,2097,49,0.5,17.1,20.2,8.0,195,--,8.1,89.1,1.4,2.7,0.027,--,7.0,3.8,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/11/3 上午 10:46:00,2097,49,0.5,23.0,22.8,8.0,190,--,7.5,87.2,1.3,4.8,0.018,--,20,10.1,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/10/11 上午 10:48:00,2097,47,0.5,30.7,28.7,8.7,223,--,7.5,98.7,2.8,7.7,0.018,--,3.4,3.0,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/9/7 上午 11:36:00,2097,46,0.5,29.6,29.0,8.9,202,--,8.5,111.8,2.2,6.5,0.013,--,1.9,1.6,4.4,0.04,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/8/2 上午 10:46:00,2097,47,0.5,31.0,29.0,9.2,174,--,9.0,119.3,2.9,9.6,0.016,--,2.0,3.4,6.1,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/7/4 上午 10:42:00,2097,48,0.5,29.0,29.0,9.0,164,--,8.8,115.3,2.7,5.4,0.026,--,2.1,2.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/6/22 上午 10:48:00,2097,58,0.5,33.0,26.1,9.0,157,--,10.6,132.4,0.8,9.8,0.041,--,5.4,4.6,4.6,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/5/2 上午 10:40:00,2097,45,0.5,26.5,22.9,8.5,236,--,8.7,102.4,1.2,1.6,0.013,--,4.9,3.6,4.1,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/4/7 上午 11:00:00,2097,42,0.5,21.1,20.9,7.6,244,--,9.2,104.0,2.6,2.9,0.012,--,4.0,3.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/3/9 上午 11:23:00,2097,54,0.5,14.7,16.4,7.8,235,--,11.4,116.6,0.7,3.1,0.033,--,13,9.4,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/2/7 上午 10:57:00,2097,46,0.5,21.0,18.2,7.2,229,--,8.7,92.4,1.7,2.7,0.016,--,3.9,3.4,<4.0,0.13,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2017/1/6 上午 11:06:00,2097,46,0.5,24.1,19.9,7.4,216,--,9.8,106.5,2.5,4.4,0.019,--,1.6,1.5,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/12/6 上午 10:40:00,2098,46,0.5,16.8,20.2,8.0,195,--,7.8,86.2,1.6,2.3,0.020,--,5.9,3.8,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/11/3 上午 10:33:00,2098,50,0.5,23.0,23.0,8.0,189,--,7.8,91.2,1.3,7.1,0.015,--,17,9.7,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/10/11 上午 10:34:00,2098,46,0.5,29.6,28.7,8.7,224,--,7.2,95.2,2.5,5.3,0.015,--,2.7,2.6,5.9,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/9/7 上午 11:21:00,2098,45,0.5,29.7,29.4,8.9,202,--,8.5,113.1,2.0,4.5,0.012,--,1.6,1.1,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/8/2 上午 10:26:00,2098,47,0.5,30.6,29.4,9.1,174,--,8.6,114.3,2.8,9.1,0.016,--,1.9,2.6,7.5,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/7/4 上午 10:26:00,2098,47,0.5,29.5,28.7,9.1,165,--,9.4,123.6,3.2,4.0,0.033,--,1.7,2.1,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/6/22 上午 10:37:00,2098,58,0.5,33.0,26.2,9.1,156,--,11.1,139.2,0.8,9.6,0.042,--,5.6,5.0,5.6,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/5/2 上午 10:19:00,2098,47,0.5,25.5,22.9,8.4,236,--,8.6,101.7,1.1,2.0,0.016,--,4.2,3.0,<4.0,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/4/7 上午 10:43:00,2098,42,0.5,21.2,21.1,7.1,245,--,9.2,105.0,2.5,3.3,0.010,--,3.8,3.4,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/3/9 上午 11:10:00,2098,50,0.5,14.7,16.4,7.8,239,--,11.4,116.0,0.7,1.5,0.027,--,11,6.9,<4.0,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/2/7 上午 10:40:00,2098,42,0.5,21.1,18.4,7.3,228,--,8.9,95.7,2.0,1.5,0.014,--,2.7,2.5,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2017/1/6 上午 10:51:00,2098,41,0.5,23.2,20.1,7.1,215,--,9.3,103.6,2.8,2.5,0.010,--,2.6,1.3,4.3,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/12/6 上午 10:26:00,2099,46,0.5,17.3,20.5,8.0,195,--,7.7,85.6,2.0,2.3,0.022,--,5.1,3.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/11/3 上午 10:20:00,2099,49,0.5,23.3,22.9,8.0,191,--,7.7,90.1,1.3,4.0,0.019,--,19,9.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/10/11 上午 10:20:00,2099,48,0.5,29.4,28.5,8.6,227,--,7.2,93.7,2.3,7.1,0.020,--,4.6,4.8,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/9/7 上午 11:06:00,2099,43,0.5,30.3,29.2,8.9,202,--,8.7,115.9,2.5,4.9,0.010,--,1.6,1.1,6.8,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/8/2 上午 10:12:00,2099,46,0.5,30.3,29.6,9.1,175,--,8.6,114.1,2.9,7.6,0.016,--,1.6,2.2,6.3,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/7/4 上午 10:13:00,2099,45,0.5,29.3,28.4,9.2,166,--,9.4,123.7,3.7,4.5,0.020,--,2.1,2.0,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/6/22 上午 10:27:00,2099,56,0.5,33.5,26.0,9.1,156,--,10.8,133.8,1.0,8.6,0.035,--,5.7,4.5,5.2,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/5/2 上午 10:08:00,2099,48,0.5,25.5,22.7,8.4,235,--,9.1,106.9,1.0,3.1,0.013,--,4.7,4.0,<4.0,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/4/7 上午 10:30:00,2099,43,0.5,21.8,20.7,7.1,244,--,9.3,104.7,2.6,3.1,0.012,--,3.4,2.8,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/3/9 上午 10:56:00,2099,51,0.5,14.7,16.4,7.8,238,--,11.5,117.2,0.8,2.6,0.026,--,12,8.7,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/2/7 上午 10:21:00,2099,43,0.5,20.8,18.1,7.0,231,--,8.7,93.8,2.8,1.8,0.019,--,3.5,3.0,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2017/1/6 上午 10:29:00,2099,43,0.5,23.4,19.9,7.1,214,--,9.7,104.1,2.4,2.7,0.014,--,1.8,1.6,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/12/6 上午 10:09:00,2100,46,0.5,16.0,20.5,8.0,196,--,7.8,86.1,2.0,2.6,0.022,--,4.3,3.0,<4.0,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/11/3 上午 10:01:00,2100,47,0.5,23.1,23.0,7.9,189,--,7.6,89.0,1.3,4.7,0.011,--,20,8.8,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/10/11 上午 10:00:00,2100,48,0.5,29.0,28.2,8.5,229,--,6.9,90.4,2.7,6.5,0.022,--,3.3,3.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/9/7 上午 10:40:00,2100,45,0.5,29.8,29.3,8.9,206,--,8.3,110.7,2.4,5.9,0.012,--,1.8,1.2,5.0,0.04,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/8/2 上午 09:55:00,2100,46,0.5,29.9,29.3,9.1,179,--,9.2,120.8,2.7,9.1,0.013,--,1.7,2.6,6.1,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/7/4 上午 09:57:00,2100,45,0.5,29.4,28.6,9.1,170,--,10.0,131.6,3.8,3.4,0.026,--,1.6,1.9,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/6/22 上午 10:14:00,2100,60,0.5,33.5,27.3,9.0,157,--,10.8,137.2,0.6,12.0,0.044,--,7.7,6.0,<4.0,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/5/2 上午 09:55:00,2100,49,0.5,25.0,22.7,8.5,235,--,9.3,107.5,0.8,2.6,0.017,--,5.0,4.3,<4.0,0.02,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/4/7 上午 10:09:00,2100,45,0.5,21.8,20.9,7.2,248,--,9.1,103.2,2.0,5.5,0.011,--,5.7,4.4,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/3/9 上午 10:40:00,2100,55,0.5,15.2,16.4,7.8,239,--,11.7,119.6,0.6,4.2,0.030,--,13,9.2,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/2/7 上午 10:00:00,2100,42,0.5,21.0,18.1,7.3,230,--,8.6,92.0,2.7,1.7,0.016,--,3.2,2.6,<4.0,<0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫五,甲,2017/1/6 上午 10:06:00,2100,43,0.5,23.9,20.0,7.3,215,--,9.6,106.1,2.6,3.4,0.011,--,1.8,1.9,4.1,<0.01,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/12/6 上午 08:58:00,2101,56,0.5,17.7,19.0,8.0,323,--,8.1,88.0,1.2,7.1,0.046,--,4.5,5.0,<4.0,0.02,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/11/3 上午 09:40:00,2101,51,0.5,24.0,23.0,8.1,289,--,8.7,102.2,1.4,6.9,0.020,--,3.4,3.0,<4.0,0.02,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/10/11 上午 09:00:00,2101,54,0.5,30.0,29.0,8.3,295,--,7.6,100.2,0.6,6.1,0.018,--,3.9,4.2,4.4,0.03,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/9/7 上午 09:09:00,2101,49,0.5,30.5,29.8,8.6,247,--,8.1,107.3,1.8,7.6,0.016,--,4.1,3.1,5.6,0.05,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/8/2 上午 09:09:00,2101,51,0.5,31.5,29.4,8.5,241,--,10.2,133.4,1.3,8.6,0.017,--,6.3,5.2,7.9,0.02,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/7/4 上午 09:19:00,2101,52,0.5,32.5,31.1,9.3,225,--,10.3,138.8,1.8,8.2,0.031,--,7.8,6.2,9.2,<0.01,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/6/6 上午 09:46:00,2101,58,0.5,33.0,28.0,8.8,268,--,9.8,128.5,0.8,10.4,0.036,--,4.6,3.9,8.7,0.08,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/5/5 上午 09:06:00,2101,55,0.5,26.5,25.6,8.6,315,--,11.3,139.4,1.6,8.8,0.048,--,2.8,3.9,6.5,0.04,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/4/7 上午 09:07:00,2101,52,0.5,24.5,21.9,8.5,340,--,9.5,109.2,0.9,4.9,0.022,--,3.3,8.7,4.0,0.04,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/3/17 上午 10:45:00,2101,42,0.5,19.3,16.7,8.1,331,--,9.3,95.6,2.6,1.2,0.020,--,4.3,4.0,4.4,<0.01,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/2/7 上午 09:25:00,2101,51,0.5,19.0,17.4,7.6,376,--,13.2,137.5,1.0,3.5,0.024,--,5.2,6.9,<4.0,0.02,--,--,--,--,--,--,--
寶山水庫,新竹縣,寶山水庫一,甲,2017/1/6 上午 08:55:00,2101,48,0.5,23.0,19.8,8.2,362,--,9.2,100.3,2.3,5.9,0.022,--,1.4,1.8,4.7,<0.01,--,--,--,--,--,--,--
