location,name,type,lat,lon
南投縣烏溪,|烏溪, 國姓鄉, 南投縣, 臺灣省, 41491, Taiwan|,river,24.0579009,120.8901522
臺中市大里溪,|大里溪, 東區, 臺中市, 401, Taiwan|,river,24.1274818,120.7055545
臺中市大甲溪,|大甲溪, 和平區, 臺中市, 42354, Taiwan|,river,24.2331511,120.9635925
苗栗縣大安溪,|大安溪, 苗栗縣, 臺灣省, 42450, Taiwan|,river,24.3724822,120.9612463
苗栗縣西湖溪,|西湖溪, 苗栗縣, 臺灣省, 368, Taiwan|,river,24.4902094,120.7784421
苗栗縣後龍溪,|後龍溪, 苗栗縣, 臺灣省, 36344, Taiwan|,river,24.5388006,120.8243293
苗栗縣中港溪,|中港溪, 苗栗縣, 臺灣省, 35343, Taiwan|,river,24.6049129,120.9961781
新竹市鹽港溪,|鹽港溪, 香山區, 新竹市, 臺灣省, 30095, Taiwan|,river,24.7292437,120.9417855
keya creek hsinchu,|客雅溪, 東區, 新竹市, 臺灣省, 30063, Taiwan|,river,24.7701072,120.9791472
新竹縣頭前溪,|頭前溪, 新竹縣, 臺灣省, 30055, Taiwan|,river,24.7417595,121.095924
新竹市頭前溪,|頭前溪, 經國路三段, 中雅里, 南寮, 北區, 新竹市, 臺灣省, 30046, Taiwan|,water,24.825590050000002,120.982096668787
新竹縣鳳山溪,|鳳山溪, 新竹縣, 臺灣省, 30057, Taiwan|,river,24.8096818,121.1246448
新竹縣茄苳溪(竹),|茄苳溪, 新豐鄉, 新竹縣, 臺灣省, 30352, Taiwan|,river,24.8878129,120.9865376
新竹縣新豐溪,|新豐溪, 新竹縣, 臺灣省, 30447, Taiwan|,river,24.9115291,121.0331708
新竹縣福興溪,|福興溪, 新竹縣, 臺灣省, 30301, Taiwan|,river,24.9377069,121.0526955
桃園市社子溪,|社子溪, 楊梅區, 桃園市, 32647, Taiwan|,river,24.9462113,121.1064526
中壢市老街溪,|老街溪, 中壢區, 桃園市, 32448, Taiwan|,river,24.9983216,121.2129821
|茄苳溪, Taoyuan, Taoyuan District, Taoyuan, 330, Taiwan|,|茄苳溪, 桃園市, 桃園區, 桃園市, 330, Taiwan|,river,25.0200936,121.2776303
|Nankan River, Guishan District, Taoyuan, 333, Taiwan|,|南崁溪, 龜山區, 桃園市, 333, Taiwan|,river,25.0299024,121.3341654
基隆市基隆河,|基隆河, 七堵區, 基隆市, 臺灣省, 221, Taiwan|,river,25.0824293,121.6824405
臺北市基隆河,|基隆河, 承德路一段, 建明里, 建成, 大同區, 臺北市, 10355, Taiwan|,water,25.066195999999998,121.57044132348297
臺北市景美溪,|景美溪, 深坑區, 新北市, 11643, Taiwan|,river,25.0006543,121.6211164
臺北市新店溪,|新店溪, 石碇區, 新北市, 23242, Taiwan|,river,24.9356671,121.6238436
新北市三峽河,|三峽河, 三峽區, 新北市, 237, Taiwan|,river,24.8703362,121.410329
桃園市大漢溪,|大漢溪, 復興區, 桃園市, 22056, Taiwan|,river,24.8106604,121.3470731
新北市大漢溪,|大漢溪, 復興區, 桃園市, 22056, Taiwan|,river,24.8106604,121.3470731
新北市淡水河,|淡水河, 三峽區, 新北市, 24243, Taiwan|,river,24.9331233,121.3473899
新北市磺溪,|磺溪, 金山區, 新北市, 208, Taiwan|,river,25.2060804,121.5928126
|老街溪, Dayuan District, Taoyuan, 33756, Taiwan|,|老街溪, 大園區, 桃園市, 33756, Taiwan|,river,25.072351,121.1877394
|老街溪, Longtan District, Taoyuan, 325, Taiwan|,|老街溪, 龍潭區, 桃園市, 325, Taiwan|,canal,24.8457057,121.2159331
|Laojie River, Longtan District, Taoyuan, 325, Taiwan|,|老街溪, 龍潭區, 桃園市, 325, Taiwan|,river,24.8828844,121.2195499
|茄苳溪, Bade District, Taoyuan, 33058, Taiwan|,|茄苳溪, 八德區, 桃園市, 33058, Taiwan|,river,24.9785694,121.2823031
|茄苳溪, Bade District, Taoyuan, 33453, Taiwan|,|茄苳溪, 八德區, 桃園市, 33453, Taiwan|,river,24.9499746,121.2771961
|大坑崁溪, Pingzhen District, Taoyuan, 32559, Taiwan|,|大坑崁溪, 平鎮區, 桃園市, 32559, Taiwan|,river,24.8972123,121.1929922
|石門大圳, Pingzhen District, Taoyuan, 33551, Taiwan|,|石門大圳, 平鎮區, 桃園市, 33551, Taiwan|,canal,24.9033459,121.2319287
|霄裡溪, Xinpu, Hsinchu County, Taiwan Province, 305, Taiwan|,|霄裡溪, 新埔鎮, 新竹縣, 臺灣省, 305, Taiwan|,river,24.8424013,121.1276645
|上坪溪, Zhudong, Hsinchu County, Taiwan Province, 311, Taiwan|,|上坪溪, 竹東鎮, 新竹縣, 臺灣省, 311, Taiwan|,river,24.6661017,121.1073739
|南港溪, Zaoqiao, Miaoli County, Taiwan Province, 361, Taiwan|,|南港溪, 造橋鄉, 苗栗縣, 臺灣省, 361, Taiwan|,river,24.6521229,120.8720387
