採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/5/7 上午 08:45:00,1035,1.5,21.3,19.5,7.78,78,--,9.1,98.9,<1.0,9.8,48.2,38000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/4/9 上午 08:45:00,1035,1.0,26.6,25.1,7.52,113,--,9.2,111.3,1.2,6.1,3.9,2400,0.04,--,0.035,--,0.24,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.002,0.006,0.013,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/3/7 上午 08:45:00,1035,1.0,14.4,17.4,7.13,121,--,9.3,96.3,<1.0,<4.0,3.4,3800,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/2/12 上午 08:45:00,1035,1.0,21.4,18.1,7.36,100,--,9.8,103.0,<1.0,<4.0,7.4,34000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/1/8 上午 08:45:00,1035,1.0,18.5,19.2,7.17,88,--,8.9,96.2,<1.0,6.9,2.8,6300,<0.01,--,0.012,0.65,0.46,0.003,<0.001,<0.003,<0.002,0.0003,<0.0003,<0.001,0.009,0.007,<0.001,<0.005,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/12/5 上午 06:55:00,1679,2.5,15.7,16.8,7.68,10300,--,5.2,53.3,1.2,12.3,20.1,27000,0.96,3260,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/11/9 上午 10:25:00,1679,2.0,22.3,22.8,7.67,14300,--,5.2,63.1,<1.0,13.0,14.4,4500,0.99,4130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/10/7 上午 08:05:00,1679,3.3,25.9,26.7,7.34,6390,--,3.4,43.6,1.1,10.0,35.4,15000,0.64,1830,0.130,--,0.54,--,<0.001,0.008,<0.002,0.0048,<0.0003,<0.001,0.011,0.107,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/9/5 下午 04:05:00,1679,2.0,28.4,28.6,7.43,7780,--,4.6,60.6,1.9,15.1,18.9,21000,0.60,2310,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/8/6 下午 04:15:00,1679,2.5,36.5,32.7,7.76,19600,--,6.4,95.3,2.2,12.2,27.0,4800,0.53,6700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/7/5 下午 02:15:00,1679,1.5,34.8,32.1,7.88,24400,--,6.8,101.0,2.5,16.3,16.2,1900,0.56,8440,0.264,--,0.26,--,<0.001,<0.003,<0.002,0.0047,<0.0003,0.004,0.003,0.032,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/6/4 下午 01:05:00,1679,4.0,28.7,27.8,7.40,11700,--,4.2,55.0,1.2,8.2,53.9,33000,0.59,3450,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/5/3 上午 11:35:00,1679,3.3,24.2,21.6,7.20,5180,--,4.9,56.3,1.1,10.8,28.8,63000,1.00,1500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/4/3 上午 11:25:00,1679,2.0,24.1,22.2,7.76,26500,--,5.8,72.7,1.3,13.6,19.5,22000,0.75,8270,0.232,--,0.62,--,<0.001,<0.003,<0.002,0.0029,<0.0003,<0.001,0.004,0.053,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/3/5 上午 11:45:00,1679,2.8,19.6,20.5,7.63,20900,--,5.0,58.6,<1.0,12.2,16.1,13000,1.69,6590,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/2/14 上午 06:05:00,1679,2.8,20.9,20.8,8.18,9880,--,4.4,48.3,1.9,6.7,15.0,6200,0.72,2990,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2019/1/10 下午 02:05:00,1679,2.0,23.1,22.3,7.27,3800,--,6.1,70.3,1.3,12.5,23.0,28000,0.47,1150,0.165,1.08,0.64,0.050,<0.001,<0.003,<0.002,0.0030,<0.0003,0.002,0.007,0.051,<0.001,<0.005,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/12/5 下午 12:55:00,1332,1.0,18.1,16.6,7.76,132,--,10.2,104.2,<1.0,6.1,1.1,2200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/11/9 上午 07:45:00,1332,1.0,19.2,19.3,7.54,140,--,9.4,102.0,<1.0,<4.0,<1.0,450,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/10/7 下午 01:06:00,1332,1.0,31.4,24.6,8.07,124,--,8.5,101.6,<1.0,4.9,2.3,840,<0.01,--,0.037,--,0.48,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.004,<0.005,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/9/5 下午 01:25:00,1332,1.0,29.8,24.5,7.88,119,--,8.5,103.5,<1.0,5.4,5.0,2500,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/8/6 下午 01:25:00,1332,1.0,35.3,27.8,8.30,122,--,8.3,107.2,<1.0,7.2,1.7,800,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/7/5 上午 10:55:00,1332,1.0,34.6,26.3,8.48,136,--,8.5,106.9,<1.0,6.4,<1.0,2300,0.06,--,0.019,--,0.43,--,<0.001,0.003,<0.002,<0.0003,<0.0003,0.002,0.010,<0.005,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/6/4 上午 11:05:00,1332,1.5,28.4,23.2,8.05,144,--,8.6,101.1,<1.0,7.1,22.0,7100,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/5/3 下午 12:55:00,1332,1.0,24.1,19.8,8.00,113,--,9.3,104.2,<1.0,6.6,3.0,3300,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/4/3 下午 12:55:00,1332,1.0,23.0,19.5,8.31,155,--,9.6,106.0,<1.0,5.6,1.3,3400,0.03,--,0.026,--,0.38,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.002,<0.005,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/3/5 下午 01:15:00,1332,1.0,20.4,18.7,8.36,196,--,10.2,109.6,<1.0,<4.0,<1.0,660,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/2/14 上午 11:05:00,1332,1.0,25.7,20.5,8.62,154,--,9.7,107.8,<1.0,5.0,<1.0,2700,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2019/1/10 上午 11:25:00,1332,1.0,19.1,19.9,7.89,104,--,9.4,103.1,<1.0,7.0,2.4,1200,0.01,--,0.034,0.39,0.57,0.002,<0.001,<0.003,<0.002,0.0003,<0.0003,<0.001,0.004,<0.005,<0.001,<0.005,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/12/5 下午 01:45:00,1221,2.8,17.6,18.1,7.05,209,--,4.9,51.7,1.9,11.4,14.4,34000,1.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/11/9 上午 08:35:00,1221,5.0,19.4,21.4,7.04,233,--,2.4,27.4,4.9,17.4,15.3,220000,3.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/10/7 下午 01:55:00,1221,1.0,31.7,28.5,7.31,165,--,6.6,85.6,<1.0,7.9,9.0,28000,0.46,--,0.113,--,0.85,--,<0.001,<0.003,<0.002,0.0020,<0.0003,0.002,0.007,0.038,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/9/5 下午 02:15:00,1221,2.5,29.2,27.3,7.19,166,--,6.0,76.6,1.8,12.5,25.4,67000,0.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/8/6 下午 02:15:00,1221,2.0,35.6,31.2,7.35,183,--,5.8,78.7,2.9,15.3,18.9,47000,0.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/7/5 上午 11:45:00,1221,2.8,35.9,28.6,7.22,191,--,4.6,59.6,2.3,10.0,6.0,28000,1.29,--,0.416,--,0.98,--,<0.001,0.004,<0.002,0.0027,<0.0003,0.006,0.011,0.062,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/6/4 下午 01:55:00,1221,2.0,28.8,25.6,7.27,248,--,6.2,76.2,2.2,9.5,9.2,390000,0.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/5/3 下午 01:45:00,1221,3.3,24.8,22.8,7.20,185,--,5.4,63.0,2.9,17.6,23.9,230000,1.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/4/3 下午 01:45:00,1221,4.5,22.7,23.1,7.22,245,--,3.2,37.0,2.8,14.2,10.4,83000,3.78,--,0.420,--,0.67,--,<0.001,<0.003,<0.002,0.0055,<0.0003,0.002,0.006,0.059,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/3/5 下午 02:05:00,1221,5.8,21.8,21.7,7.19,265,--,2.7,30.5,1.9,17.6,64.4,25000,3.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/2/14 上午 11:55:00,1221,3.5,27.3,23.6,7.28,232,--,3.4,39.6,2.9,14.1,9.1,54000,2.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2019/1/10 下午 12:15:00,1221,1.5,20.4,24.2,7.16,149,--,7.1,84.3,2.6,13.6,18.9,5200,0.76,--,0.300,1.23,1.25,0.064,<0.001,<0.003,<0.002,0.0013,<0.0003,<0.001,0.010,0.027,<0.001,<0.005,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/12/5 上午 06:05:00,1222,3.3,16.0,16.1,7.52,2300,--,6.3,63.6,1.7,16.3,38.2,7400,1.12,627,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/11/9 上午 09:35:00,1222,3.3,20.6,22.3,7.37,687,--,5.6,63.7,1.9,12.9,23.3,5200,1.33,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/10/7 上午 07:15:00,1222,3.3,26.0,26.4,7.22,454,--,4.2,51.9,1.5,18.1,45.1,40000,0.70,74.3,0.146,--,0.68,--,<0.001,<0.003,<0.002,0.0050,<0.0003,0.003,0.008,0.106,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/9/5 下午 03:15:00,1222,3.3,28.7,28.4,7.30,625,--,4.3,56.3,1.7,16.7,27.2,20000,0.79,108,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/8/6 下午 03:25:00,1222,2.5,36.1,32.7,7.66,5280,--,6.0,84.5,3.0,8.4,34.4,9000,0.56,1750,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
