採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/6/5 下午 12:50:00,1335,3.3,34.5,28.0,8.32,403,--,8.1,103.9,<1.0,7.2,354,2700,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/5/17 下午 12:20:00,1335,2.3,31.9,29.9,8.30,470,--,8.1,108.5,<1.0,6.1,92.7,7300,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/4/1 上午 11:30:00,1335,1.0,29.1,25.3,8.20,560,--,9.0,109.1,1.1,7.5,10.5,7300,0.02,--,0.062,--,0.19,--,<0.001,<0.003,<0.002,0.0016,<0.0003,0.003,0.013,0.034,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/3/6 上午 11:00:00,1335,1.0,33.4,24.5,8.22,564,--,7.9,95.3,<1.0,4.2,12.1,200,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/2/15 上午 11:05:00,1335,1.0,30.3,25.1,8.24,540,--,8.2,99.0,<1.0,4.2,12.6,600,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2019/1/3 上午 11:10:00,1335,1.0,26.4,22.9,8.32,524,--,9.2,106.7,<1.0,<4.0,12.2,11000,0.03,--,0.052,1.63,0.33,0.009,<0.001,<0.003,<0.002,0.0008,<0.0003,0.006,0.012,0.039,<0.001,<0.005,<0.001,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/12/4 下午 01:42:00,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/11/1 下午 01:50:00,1200,3.3,32.1,29.7,8.14,586,--,7.2,95.6,1.0,14.8,379,19000,0.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/10/5 下午 01:55:00,1200,3.3,33.7,29.4,8.04,560,--,7.0,92.9,<1.0,11.6,526,21000,0.07,--,0.270,--,2.52,--,<0.001,0.018,<0.002,0.0059,<0.0003,0.010,0.048,0.464,<0.001,0.014,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/9/3 下午 01:50:00,1200,3.3,32.7,28.4,8.12,373,--,8.2,107.0,<1.0,32.4,1840,550,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/8/2 下午 01:50:00,1200,3.3,29.2,28.1,8.18,430,--,7.7,99.3,<1.0,5.8,230,1200,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/7/1 下午 01:45:00,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/6/5 下午 01:50:00,1200,3.3,34.3,27.3,8.34,419,--,7.9,99.9,<1.0,18.9,1100,2400,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/5/17 下午 01:50:00,1200,3.3,34.4,28.5,8.13,502,--,7.5,97.4,<1.0,19.9,889,51000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/4/1 下午 01:26:00,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/3/6 上午 11:55:00,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/2/15 下午 01:00:00,1200,3.8,25.7,29.3,7.98,664,--,7.3,95.3,2.2,21.9,469,48000,0.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2019/1/3 下午 01:50:00,1200,3.3,28.3,27.4,8.13,631,--,7.6,95.5,<1.0,14.3,748,6500,0.02,--,0.037,1.29,2.81,0.034,<0.001,0.028,<0.002,0.0095,<0.0003,0.021,0.084,0.823,<0.001,0.027,<0.001,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/12/4 下午 03:10:00,1202,5.0,20.8,21.9,8.04,667,--,7.8,89.5,5.3,27.5,39.4,130000,4.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/11/1 下午 03:10:00,1202,4.3,33.8,29.0,8.05,630,--,6.6,86.0,3.9,18.8,45.2,32000,3.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/10/5 下午 03:10:00,1202,3.3,30.6,28.2,8.13,489,--,7.2,91.9,1.4,15.3,349,130000,0.44,--,0.251,--,1.29,--,<0.001,0.008,<0.002,0.0044,<0.0003,0.008,0.040,0.273,<0.001,0.010,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/9/3 下午 02:55:00,1202,3.3,28.2,27.8,8.16,521,--,7.8,100.5,<1.0,30.7,1380,16000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/8/2 下午 03:08:00,1202,4.5,29.5,28.7,8.04,514,--,7.0,91.8,2.3,18.7,216,230000,1.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/7/1 下午 03:10:00,1202,3.3,31.8,30.5,8.22,438,--,7.2,97.5,<1.0,12.9,583,11000,0.06,--,0.190,--,0.47,--,<0.001,0.011,<0.002,0.0053,<0.0003,0.006,0.027,0.354,<0.001,0.009,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/6/5 下午 03:10:00,1202,3.3,35.0,27.7,8.24,426,--,7.9,100.8,<1.0,19.5,796,25000,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/5/17 下午 03:10:00,1202,5.5,33.3,30.3,8.02,515,--,6.8,92.1,2.7,21.6,164,44000,4.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/4/1 下午 02:30:00,1202,5.8,26.8,27.0,7.96,724,--,7.0,86.9,7.8,36.3,64.0,79000,6.69,--,0.975,--,0.19,--,<0.001,<0.003,<0.002,0.0028,<0.0003,0.003,0.015,0.271,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/3/6 下午 02:10:00,1202,4.5,34.6,28.1,7.93,715,--,7.0,90.4,5.9,23.0,15.7,32000,6.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/2/15 下午 02:10:00,1202,4.8,30.2,28.9,8.02,697,--,6.2,80.6,3.9,18.7,29.0,10000,4.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2019/1/3 下午 03:10:00,1202,4.3,27.8,25.2,8.02,654,--,7.5,90.8,4.5,20.1,24.4,23000,4.97,--,0.855,4.61,0.70,0.110,<0.001,<0.003,<0.002,0.0019,<0.0003,0.004,0.013,0.152,<0.001,<0.005,<0.001,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/12/4 下午 03:20:00,1656,4.3,20.6,22.2,7.99,667,--,7.9,90.4,3.8,16.3,32.5,31000,3.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/11/1 下午 03:20:00,1656,3.5,30.7,29.0,8.11,588,--,6.8,89.2,2.4,13.8,57.6,25000,1.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/10/5 下午 03:20:00,1656,3.8,30.8,28.2,8.02,490,--,6.7,86.8,1.6,15.5,318,160000,0.74,--,0.079,--,1.27,--,<0.001,0.007,<0.002,0.0035,<0.0003,0.010,0.039,0.257,<0.001,0.009,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/9/3 下午 03:20:00,1656,3.3,27.0,27.3,8.01,427,--,7.5,95.9,<1.0,17.6,940,16000,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/8/2 下午 03:20:00,1656,3.3,29.1,28.1,8.14,454,--,7.3,93.9,<1.0,10.1,273,44000,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/7/1 下午 03:34:00,1656,3.3,30.8,29.8,8.14,459,--,6.6,89.1,<1.0,15.0,664,25000,0.44,--,0.165,--,0.54,--,<0.001,0.014,<0.002,0.0043,<0.0003,0.012,0.049,0.372,<0.001,0.016,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/6/5 下午 03:20:00,1656,3.3,34.6,27.3,8.16,443,--,7.6,96.4,<1.0,19.8,829,12000,0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/5/17 下午 03:20:00,1656,4.5,34.4,30.1,7.96,524,--,6.6,87.7,1.5,14.0,213,40000,1.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/4/1 下午 02:43:00,1656,5.0,26.1,27.8,7.98,760,--,7.7,98.6,7.1,26.0,21.5,21000,6.12,--,1.03,--,0.58,--,<0.001,<0.003,<0.002,0.0034,<0.0003,0.002,0.009,0.528,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/3/6 下午 02:20:00,1656,3.3,29.1,28.8,7.81,796,--,8.0,103.9,3.1,15.6,42.5,1200,2.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/2/15 下午 02:20:00,1656,2.3,27.9,30.2,7.94,836,--,7.0,92.7,1.8,7.8,10.3,160,1.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2019/1/3 下午 03:20:00,1656,5.0,27.2,25.9,7.97,688,--,6.8,83.5,5.1,20.0,30.6,72000,5.58,--,1.04,4.55,0.68,0.234,<0.001,<0.003,<0.002,0.0027,<0.0003,0.004,0.017,0.216,<0.001,<0.005,<0.001,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/12/4 上午 08:50:00,1203,4.8,20.4,20.4,8.01,2180,--,5.5,61.4,3.1,20.1,28.5,190000,3.76,472,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/11/1 下午 02:10:00,1203,2.8,33.3,28.8,8.01,822,--,7.1,91.9,2.5,13.1,28.4,26000,2.04,55.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/10/5 上午 08:40:00,1203,4.3,28.2,27.1,7.93,703,--,5.3,66.5,2.0,15.0,128,130000,0.95,55.5,0.375,--,1.25,--,<0.001,0.004,<0.002,0.0034,<0.0003,0.008,0.027,0.148,<0.001,0.006,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/9/3 下午 04:30:00,1203,3.3,30.9,27.1,7.91,430,--,7.2,90.4,<1.0,18.8,906,37000,0.24,6.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/8/2 下午 03:00:00,1203,3.3,31.2,28.3,8.01,474,--,6.6,84.6,1.5,10.7,239,140000,0.33,6.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/7/1 下午 02:00:00,1203,3.8,34.2,30.6,8.20,475,--,6.5,87.7,<1.0,10.5,114,43000,0.71,6.9,0.340,--,0.65,--,<0.001,0.003,<0.002,0.0029,<0.0003,0.003,0.012,0.086,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/6/5 下午 03:45:00,1203,3.3,32.9,27.8,7.95,520,--,6.8,86.8,<1.0,20.4,775,31000,0.23,3.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/5/17 下午 01:20:00,1203,5.0,31.6,30.7,7.83,637,--,5.3,71.3,2.1,14.6,155,260000,2.03,21.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/4/1 上午 10:40:00,1203,6.3,32.0,27.7,7.76,16400,--,4.0,54.5,10.8,40.8,20.1,86000,8.21,5200,1.10,--,0.46,--,<0.001,<0.003,<0.002,0.0047,<0.0003,0.005,0.012,0.486,<0.001,<0.005,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/3/6 下午 01:30:00,1203,5.8,31.4,27.4,7.93,25500,--,7.4,101.7,12.8,50.4,67.8,120000,10.6,8830,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/2/15 上午 08:23:00,1203,7.3,23.0,24.1,7.80,31000,--,4.0,52.6,16.0,50.9,22.0,670000,8.82,11300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2019/1/3 上午 10:40:00,1203,4.8,23.8,22.2,7.87,7640,--,5.2,60.6,4.3,19.0,25.8,74000,5.51,2240,0.995,7.11,0.73,0.169,<0.001,<0.003,<0.002,0.0038,<0.0003,0.005,0.011,0.181,<0.001,<0.005,<0.001,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/12/6 下午 01:00:00,1663,3.3,18.3,19.4,7.56,1190,--,6.6,72.0,2.3,18.7,19.1,23000,7.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/11/6 下午 02:20:00,1663,2.8,31.2,27.2,7.95,1260,--,9.7,122.4,2.1,13.3,25.7,3000,1.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/10/8 下午 03:06:00,1663,2.3,33.4,32.3,7.88,1280,--,10.6,146.4,2.3,18.9,7.2,<10,1.50,--,0.226,--,1.40,--,<0.001,<0.003,<0.002,0.0108,<0.0003,<0.001,0.006,0.095,<0.001,<0.005,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/9/12 上午 10:40:00,1663,3.3,35.9,31.0,7.72,1140,--,4.7,63.2,3.3,12.8,15.2,2500,1.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/8/9 下午 01:40:00,1663,3.8,30.8,29.8,8.11,647,--,6.4,85.9,1.3,29.7,556,6200,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/7/5 下午 01:20:00,1663,3.3,27.5,27.4,7.92,355,--,7.2,91.3,1.7,24.0,412,58000,0.20,--,0.098,--,0.85,--,<0.001,0.010,<0.002,0.0068,<0.0003,0.015,0.057,0.190,<0.001,0.015,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/6/4 下午 12:20:00,1663,3.3,27.9,29.7,8.40,484,--,7.0,92.7,2.2,18.5,146,170000,0.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/5/6 下午 12:00:00,1663,3.5,25.1,25.3,7.76,1010,--,4.0,49.3,1.7,15.1,6.0,11000,1.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/4/2 上午 10:09:00,1663,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/3/4 上午 09:32:00,1663,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/2/18 上午 09:00:00,1663,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店溪流域,阿公店溪,高雄市,小崗山橋(原為高速鐵路橋下游便橋),丁,2019/1/2 下午 01:50:00,1663,1.5,23.6,22.2,7.94,1190,--,9.9,113.0,1.0,13.9,4.8,350,0.82,--,0.123,3.62,1.48,0.226,<0.001,<0.003,<0.002,0.0083,<0.0003,<0.001,0.009,0.057,<0.001,<0.005,<0.001,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/12/6 下午 12:10:00,1197,2.3,19.3,21.6,7.80,459,--,4.4,49.6,1.2,7.9,4.4,700,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/11/6 下午 01:30:00,1197,2.3,30.2,28.0,7.79,475,--,3.5,44.8,1.2,9.7,3.6,70,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/10/8 下午 02:10:00,1197,2.3,33.2,30.6,7.61,468,--,3.9,52.0,2.4,12.2,3.3,190,0.06,--,0.154,--,0.08,--,<0.001,<0.003,<0.002,0.0032,0.0003,0.002,0.009,0.115,<0.001,<0.005,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/9/12 上午 09:40:00,1197,2.3,33.7,28.6,8.14,890,--,7.4,95.4,1.1,8.6,70.5,5300,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/8/9 下午 01:00:00,1197,3.3,30.6,28.6,8.22,853,--,7.2,95.7,1.1,17.5,192,11000,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/7/5 下午 12:20:00,1197,3.3,27.4,26.1,8.08,380,--,7.2,89.0,1.5,63.4,1980,200000,0.08,--,0.091,--,1.02,--,<0.001,0.040,<0.002,0.0097,<0.0003,0.055,0.154,1.01,<0.001,0.054,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/6/4 上午 11:34:00,1197,4.5,26.8,29.4,8.07,1150,--,6.4,83.8,5.1,23.6,62.1,20000,0.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/5/6 上午 11:00:00,1197,2.8,25.0,25.5,8.28,1030,--,7.1,87.1,3.6,24.0,51.0,4000,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/4/2 上午 09:30:00,1197,2.0,26.6,25.8,7.91,542,--,6.1,75.0,1.6,12.3,37.8,12000,0.10,--,0.085,--,0.52,--,<0.001,<0.003,<0.002,0.0029,<0.0003,0.008,0.018,0.046,<0.001,0.005,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/3/4 上午 09:00:00,1197,1.5,23.5,24.8,8.30,510,--,5.6,66.8,1.1,9.8,19.0,<10,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/2/18 上午 08:30:00,1197,1.0,23.1,24.0,7.95,484,--,6.5,77.7,1.1,8.5,11.1,40,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),乙,2019/1/2 下午 01:00:00,1197,1.5,24.3,22.7,8.00,470,--,5.5,65.6,<1.0,7.0,4.3,55,<0.01,--,0.053,3.02,0.03,0.002,<0.001,<0.003,<0.002,0.0022,<0.0003,0.004,0.007,0.030,<0.001,<0.005,<0.001,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/12/6 下午 02:30:00,1198,8.3,18.5,20.2,7.86,1240,--,0.6,7.0,15.3,45.6,23.2,3900000,8.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/11/6 下午 03:20:00,1198,6.8,28.9,27.5,7.88,1650,--,0.6,7.6,13.6,42.8,13.3,2100000,7.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/10/8 下午 04:06:00,1198,6.8,30.8,30.6,7.76,1430,--,1.3,17.9,9.5,34.9,13.2,310000,9.58,--,0.490,--,0.05,--,<0.001,<0.003,<0.002,0.0058,<0.0003,0.001,0.025,0.114,<0.001,<0.005,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/9/12 上午 11:40:00,1198,3.3,36.0,32.0,7.84,1170,--,5.3,72.2,2.2,14.5,40.8,230000,2.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/8/9 下午 02:30:00,1198,4.3,30.0,29.6,7.83,606,--,5.2,69.2,2.6,24.3,292,280000,0.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/7/5 下午 02:20:00,1198,3.8,28.4,27.6,7.84,372,--,6.3,80.7,2.8,37.2,946,210000,0.20,--,0.220,--,0.83,--,<0.001,0.026,<0.002,0.0081,<0.0003,0.028,0.132,0.450,<0.001,0.034,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/6/4 下午 01:03:00,1198,2.8,27.6,29.6,8.16,462,--,5.6,73.0,2.6,18.7,73.8,70000,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/5/6 下午 01:03:00,1198,6.8,25.5,25.6,7.66,847,--,0.5,5.9,10.2,36.3,18.0,450000,7.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/4/2 上午 10:50:00,1198,4.5,27.3,26.7,8.19,984,--,9.2,114.0,10.5,34.9,17.3,45000,4.36,--,0.570,--,0.11,--,<0.001,<0.003,<0.002,0.0045,<0.0003,<0.001,0.011,0.053,<0.001,<0.005,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/3/4 上午 10:10:00,1198,5.0,27.2,25.3,8.26,1680,--,10.2,123.9,5.3,34.4,21.8,4400,4.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/2/18 上午 09:45:00,1198,5.0,25.2,24.4,7.81,1940,--,5.3,63.3,5.4,27.1,19.2,13000,5.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2019/1/2 下午 02:40:00,1198,4.3,23.6,22.1,8.02,1240,--,5.5,62.4,3.9,23.4,18.0,2000000,3.95,--,0.390,5.53,0.19,0.053,<0.001,<0.003,<0.002,0.0060,<0.0003,0.003,0.040,0.078,<0.001,<0.005,<0.001,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,前州橋,丁,2019/12/6 下午 03:15:00,1268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店溪流域,阿公店溪,高雄市,前州橋,丁,2019/11/6 下午 04:20:00,1268,5.8,27.8,26.6,7.88,2140,--,3.2,39.8,10.2,43.0,13.5,940000,19.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
