採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,氧化還原電位,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1,4—二氯苯,1,1—二氯乙烷,1,2—二氯乙烷,1,1—二氯乙烯,順1,2—二氯乙烯,反1,2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1,1,2—三氯乙烷,1,1,1—三氯乙烷,1,2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,,mg/L,%,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
嘉南平原,臺南市,長平國小,2017/5/23 上午 11:27:00,4279,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,長平國小,2017/5/2 上午 10:51:00,4279,2.300,27.2,1140,7.2,2.4,--,27.8,449,734,116,0.43,0.01,82.2,1.13,0.0092,<0.001,<0.001,<0.001,<0.003,<0.002,0.015,0.414,<0.0003,<0.005,0.0092,0.27,82.8,12.8,119,53.2,365,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,官田工業區管理中心,2017/10/25 下午 02:05:00,4280,2.152,29.1,822,6.8,2.8,--,<100.5,366,497,18.1,0.09,0.05,54.3,1.30,0.0016,<0.001,<0.001,<0.001,<0.003,<0.002,1.18,0.751,--,--,0.0149,0.27,37.7,0.840,101,31.8,356,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,官田工業區管理中心,2017/4/25 下午 12:52:00,4280,2.860,27.6,765,6.9,4.9,--,81.9,358,459,23.8,0.41,1.15,54.4,2.30,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.011,0.165,<0.0003,<0.005,0.0216,0.26,30.7,1.20,87.7,26.5,356,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,官田工業區管理中心,2017/3/31 上午 11:24:00,4280,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,頭港國小(原為河南國小),2017/10/27 上午 10:34:00,4281,2.467,27.7,870,6.9,1.0,--,101.1,409,624,17.0,0.29,0.10,70.4,1.51,0.0022,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,0.351,--,--,<0.006,0.24,31.7,20.2,97.7,48.6,405,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,頭港國小(原為河南國小),2017/3/23 上午 10:05:00,4281,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,林鳳國小,2017/10/25 上午 10:12:00,4282,2.230,27.0,1170,6.5,2.0,--,<75.1,451,760,77.6,2.55,0.01,181,1.75,0.0150,<0.001,<0.001,<0.001,<0.003,<0.002,1.63,2.64,--,--,0.0148,0.44,73.1,2.43,115,42.4,312,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,林鳳國小,2017/4/25 上午 10:32:00,4282,1.528,27.4,1190,6.6,1.7,--,<31.6,508,846,88.8,2.82,0.01,237,3.03,0.0129,<0.001,<0.001,<0.001,<0.003,<0.002,1.43,2.65,<0.0003,<0.005,0.0207,0.44,66.1,2.08,110,42.3,353,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,林鳳國小,2017/3/31 上午 10:07:00,4282,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,蚵寮國小(台南市),2017/11/8 上午 11:00:00,4283,1.405,27.0,16900,7.5,1.4,--,<140.4,1430,10800,5170,8.11,0.09,699,4.41,0.0415,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,0.414,--,--,<0.006,0.63,3310,150,70.2,298,529,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,蚵寮國小(台南市),2017/5/26 上午 10:05:00,4283,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹縣,坪林國小,2017/10/27 上午 10:59:00,4284,14.952,24.4,165,6.0,5.5,--,148,52.4,148,10.9,<0.01,2.44,13.3,0.39,0.0005,<0.001,<0.001,<0.001,<0.003,0.005,0.079,<0.005,--,--,0.0131,<0.10,11.1,1.16,10.8,6.35,39.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2017/8/9 上午 09:36:00,4284,12.248,24.0,149,6.0,3.7,--,177,44.9,132,10.5,<0.01,1.96,12.2,0.48,<0.0003,<0.001,0.002,<0.001,<0.003,0.004,0.050,<0.005,--,--,0.0069,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2017/5/24 上午 10:57:00,4284,12.748,23.2,135,6.0,3.8,--,221,37.3,79.0,9.8,0.01,2.39,11.9,0.38,<0.0003,<0.001,0.001,<0.001,<0.003,0.010,0.037,<0.005,<0.0003,<0.005,<0.0060,<0.10,8.78,0.874,7.74,4.77,19.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2017/4/10 上午 10:51:00,4284,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,坪林國小,2017/2/6 上午 09:47:00,4284,16.146,24.5,181,6.2,5.9,--,193,59.1,141,11.6,0.01,2.79,13.0,0.27,<0.0003,<0.001,0.002,0.001,<0.003,0.018,0.057,0.005,<0.0003,<0.005,<0.0060,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹人國小,2017/10/24 上午 11:55:00,4285,5.066,27.2,690,6.6,2.0,--,32.0,310,424,19.3,<0.01,0.68,41.3,1.04,<0.0003,<0.001,<0.001,<0.001,<0.003,0.003,0.047,0.057,--,--,<0.006,0.23,28.1,0.534,77.6,24.6,298,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹人國小,2017/4/27 上午 11:11:00,4285,6.105,25.7,836,6.9,1.4,--,85.3,368,494,16.6,<0.01,0.23,42.2,0.82,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.006,0.012,<0.0003,<0.005,0.0189,0.20,27.9,0.610,98.3,26.7,365,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹人國小,2017/3/28 下午 03:47:00,4285,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹縣,長安國小,2017/10/20 下午 04:19:00,4286,12.379,24.8,88,5.2,3.2,--,142,14.9,74.5,12.1,<0.01,0.94,1.4,0.26,<0.0003,<0.001,<0.001,0.002,<0.003,0.031,0.124,0.080,--,--,0.0208,<0.10,9.39,2.29,2.54,2.63,14.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2017/8/9 下午 04:26:00,4286,11.960,23.9,90,5.4,3.2,--,72.7,17.4,84.5,12.0,<0.01,0.80,1.6,0.20,0.0006,<0.001,0.001,<0.001,0.003,0.012,0.451,0.100,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2017/5/15 下午 04:17:00,4286,12.174,24.8,89,5.4,3.7,--,98.0,16.4,63.5,14.0,0.01,0.93,1.6,0.16,<0.0003,<0.001,0.001,<0.001,<0.003,0.042,0.147,0.081,<0.0003,<0.005,<0.0060,<0.10,9.15,2.08,2.59,2.59,15.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2017/4/6 下午 03:56:00,4286,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,長安國小,2017/2/6 下午 04:17:00,4286,12.297,23.9,90,5.3,3.6,--,200,21.6,77.5,11.8,0.01,0.82,1.2,0.11,<0.0003,<0.001,0.002,0.001,<0.003,0.022,0.164,0.096,<0.0003,<0.005,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,菁寮國小,2017/10/24 下午 01:35:00,4288,1.348,26.8,960,7.2,3.0,--,<139.4,445,659,38.4,0.26,0.03,146,1.48,0.0141,<0.001,<0.001,<0.001,<0.003,0.002,6.23,0.773,--,--,<0.006,0.26,36.0,1.12,130,36.0,309,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,菁寮國小,2017/4/27 下午 01:09:00,4288,1.206,25.8,1240,7.1,1.4,--,<125.5,488,696,45.5,0.19,<0.01,150,1.45,0.0088,<0.001,<0.001,<0.001,<0.003,<0.002,5.29,0.894,<0.0003,<0.005,0.0092,0.24,33.5,1.04,134,36.2,333,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,菁寮國小,2017/3/28 下午 02:01:00,4288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹市,港南國小,2017/11/3 上午 11:46:00,4294,0.967,27.6,1120,7.4,0.2,--,<14.1,326,619,117,2.67,0.02,70.2,1.71,0.0047,<0.001,<0.001,0.001,<0.003,0.004,0.018,0.076,--,--,<0.0060,0.67,96.4,19.1,68.2,33.1,313,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,港南國小,2017/4/24 上午 10:36:00,4294,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹市,東門國小(新竹市),2017/10/30 下午 02:46:00,4295,1.681,28.5,1160,7.6,1.5,--,<26.1,428,719,65.4,15.0,1.59,200,2.02,0.0028,<0.001,<0.001,<0.001,<0.003,0.008,0.102,0.148,--,--,0.0118,0.12,57.1,14.7,125,30.0,312,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,東門國小(新竹市),2017/5/22 下午 01:25:00,4295,1.063,24.5,922,7.0,0.2,--,27.0,390,656,27.5,1.39,1.27,238,1.15,0.0010,<0.001,<0.001,<0.001,<0.003,0.013,0.014,0.119,<0.0003,<0.005,<0.0060,0.13,41.0,6.52,113,26.0,184,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,東門國小(新竹市),2017/4/11 上午 10:51:00,4295,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹市,香山國小,2017/11/9 上午 09:52:00,4296,14.305,27.0,457,6.1,1.2,--,172,132,318,25.9,<0.01,2.54,69.0,0.27,<0.0003,<0.001,<0.001,<0.001,<0.003,0.010,0.014,<0.005,--,--,<0.0060,<0.10,44.0,1.36,24.7,16.5,109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,香山國小,2017/4/13 上午 10:41:00,4296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,雙溪國小,2017/10/31 下午 03:58:00,4297,8.355,27.3,908,6.2,0.1,--,<33.1,171,546,165,0.02,<0.01,42.0,0.48,<0.0003,<0.001,<0.001,0.008,<0.003,0.012,1.14,1.64,--,--,0.0244,0.27,116,2.04,24.7,25.2,141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,雙溪國小,2017/5/15 上午 09:35:00,4297,7.342,29.0,824,6.2,0.3,--,29.1,132,520,134,0.07,0.09,43.7,0.44,<0.0003,<0.001,0.003,0.007,<0.003,0.037,2.37,1.24,<0.0003,0.006,<0.0060,0.33,108,2.17,22.0,21.8,155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,雙溪國小,2017/4/26 上午 09:31:00,4297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,竹東國中,2017/10/27 下午 01:45:00,4299,6.695,28.2,812,6.4,0.1,--,<100,354,525,11.3,0.05,<0.01,135,0.49,0.0006,<0.001,<0.001,<0.001,<0.003,0.019,19.2,0.859,--,--,<0.0060,0.14,28.6,2.09,83.9,32.9,266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,竹東國中,2017/8/9 上午 11:17:00,4299,6.209,26.7,802,6.4,0.1,--,<113,208,460,10.0,0.04,<0.01,151,0.63,0.0009,<0.001,0.002,<0.001,<0.003,0.010,27.4,0.707,--,--,0.0117,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,竹東國中,2017/5/24 下午 02:04:00,4299,6.272,26.8,785,6.4,0.2,--,<90.1,345,589,10.6,0.06,<0.01,133,0.59,<0.0003,<0.001,0.002,<0.001,<0.003,0.038,17.5,0.843,<0.0003,<0.005,<0.0060,<0.10,27.9,2.02,78.9,34.8,281,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,竹東國中,2017/4/10 下午 02:16:00,4299,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,竹東國中,2017/2/6 上午 11:25:00,4299,7.133,26.6,647,6.1,0.8,--,<34.9,262,514,11.0,0.04,0.02,144,0.45,0.0014,<0.001,0.002,<0.001,<0.003,0.032,26.3,0.609,<0.0003,<0.005,<0.0060,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,照南國小,2017/10/1 上午 08:00:00,4300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
新苗地區,苗栗縣,照南國小,2017/4/1 上午 08:00:00,4300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
新苗地區,苗栗縣,照南國小,2017/4/1 上午 08:00:00,4300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
新苗地區,苗栗縣,大山國小,2017/10/20 上午 11:54:00,4302,3.453,29.4,459,6.4,3.5,--,191.5,164,292,51.9,0.06,4.93,27.4,1.50,<0.0003,<0.001,<0.001,0.001,<0.003,0.002,0.006,<0.005,--,--,<0.0060,0.31,25.5,2.99,33.2,17.7,104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,大山國小,2017/3/10 上午 11:31:00,4302,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,後龍國中,2017/10/11 下午 12:11:00,4303,3.211,27.6,510,6.5,2.7,--,113.4,195,334,38.9,0.06,1.65,66.9,1.84,<0.0003,<0.001,<0.001,0.001,<0.003,0.003,<0.005,0.487,--,--,<0.0060,0.27,31.1,4.62,51.6,17.3,129,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,後龍國中,2017/3/14 上午 11:21:00,4303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,苗栗縣立體育場,2017/10/17 下午 03:53:00,4304,5.480,25.8,616,6.8,0.5,--,96.4,249,408,23.0,0.14,1.36,68.1,1.58,<0.0003,<0.001,<0.001,0.001,<0.003,0.003,0.005,0.007,--,--,<0.0060,0.13,24.5,3.31,79.6,15.3,214,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,苗栗縣立體育場,2017/3/13 下午 02:31:00,4304,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,建功國小(苗栗市),2017/10/17 下午 01:45:00,4305,2.480,29.0,646,6.5,0.6,--,11.1,289,422,21.9,0.10,<0.01,62.7,1.78,<0.0003,<0.001,<0.001,0.001,<0.003,0.004,0.151,0.418,--,--,<0.0060,0.14,29.8,2.30,76.4,19.9,246,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,建功國小(苗栗市),2017/4/21 上午 10:51:00,4305,2.257,27.1,611,6.7,1.1,--,37.6,262,396,17.9,0.08,0.01,50.7,2.18,<0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.086,0.411,<0.0003,0.007,<0.0060,0.14,26.9,2.11,76.8,19.7,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,建功國小(苗栗市),2017/3/14 上午 11:26:00,4305,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,西湖國小,2017/10/20 下午 01:00:00,4306,7.803,26.6,630,7.8,0.6,--,<31.1,80.0,392,23.0,1.12,0.10,28.8,1.04,0.0007,<0.001,<0.001,0.002,<0.003,0.003,0.010,0.053,--,--,<0.0060,<0.10,111,2.55,18.8,6.26,268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,西湖國小,2017/4/17 上午 11:20:00,4306,7.489,28.5,623,7.9,2.1,--,<51.3,78.2,410,15.5,1.04,0.01,30.0,1.73,0.0006,<0.001,<0.001,0.001,<0.003,0.003,0.011,0.064,<0.0003,<0.005,0.0275,<0.10,119,3.08,20.1,6.91,267,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,西湖國小,2017/3/23 下午 03:31:00,4306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,銅鑼國小,2017/10/19 上午 10:29:00,4308,15.549,24.8,304,5.0,2.9,--,345.1,80.4,222,19.1,0.05,12.8,42.0,0.89,<0.0003,<0.001,<0.001,0.001,<0.003,0.014,0.005,0.037,--,--,<0.0060,<0.10,20.4,5.27,9.11,14.5,29.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,銅鑼國小,2017/4/18 下午 03:50:00,4308,17.781,25.3,281,4.9,2.0,--,13.5,80.2,198,16.8,0.03,10.6,50.2,1.17,<0.0003,<0.001,<0.001,0.001,<0.003,0.020,0.007,0.044,<0.0003,0.008,0.0678,<0.10,20.1,5.90,7.94,14.2,7.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,銅鑼國小,2017/3/23 下午 02:36:00,4308,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,通霄國中,2017/10/12 下午 12:24:00,4309,3.621,27.5,1130,6.9,2.6,--,<41.1,468,716,85.1,0.73,<0.01,152,2.06,0.0010,<0.001,<0.001,0.001,<0.003,0.004,1.30,0.155,--,--,<0.0060,0.35,79.7,4.55,132,34.6,328,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,通霄國中,2017/7/11 下午 02:48:00,4309,3.262,27.0,1160,6.7,0.4,--,<95.6,388,760,82.0,0.65,<0.01,178,2.57,0.0006,<0.001,<0.001,0.001,<0.003,0.006,4.08,0.139,--,--,<0.0060,0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,通霄國中,2017/4/18 上午 10:25:00,4309,3.520,27.8,1170,6.8,0.3,--,<99.8,421,818,75.5,0.54,0.01,196,2.69,0.0004,<0.001,<0.001,0.001,<0.003,0.008,4.85,0.133,<0.0003,0.022,0.0550,0.31,80.0,3.24,132,32.0,322,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
