採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,氧化還原電位,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1,4—二氯苯,1,1—二氯乙烷,1,2—二氯乙烷,1,1—二氯乙烯,順1,2—二氯乙烯,反1,2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1,1,2—三氯乙烷,1,1,1—三氯乙烷,1,2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,,mg/L,%,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,五堵國小,2017/5/8 上午 10:18:00,4147,8.936,25.7,287,4.9,3.2,--,238,50.1,184,29.3,0.57,0.95,84.1,0.93,<0.0003,<0.001,0.004,0.004,<0.003,0.042,0.321,2.14,<0.0003,0.008,<0.0060,0.11,24.7,3.53,11.7,4.50,2.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,五堵國小,2017/4/27 上午 11:23:00,4147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,五堵國小,2017/2/17 上午 10:17:00,4147,8.907,25.6,287,5.1,2.3,--,199,53.1,192,22.1,0.35,0.36,79.7,0.81,<0.0003,<0.001,0.003,<0.001,<0.003,0.008,3.33,1.89,<0.0003,<0.005,<0.0060,0.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2017/12/1 下午 01:02:00,4149,0.185,24.7,488,8.3,0.5,--,<109,27.4,262,26.8,0.50,0.05,15.7,<0.10,<0.0003,<0.001,<0.001,0.002,0.003,0.005,0.322,0.035,--,--,<0.0060,0.56,118,2.27,7.03,2.18,204,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2017/8/17 下午 01:01:00,4149,0.421,25.0,481,8.4,0.5,--,<106,28.3,248,27.7,0.56,<0.01,15.7,0.54,<0.0003,<0.001,<0.001,<0.001,0.004,0.003,0.036,0.013,--,--,<0.0060,0.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2017/5/9 下午 01:02:00,4149,0.262,24.8,485,8.4,0.4,--,<165,21.8,316,27.0,0.56,0.01,13.2,0.26,<0.0003,<0.001,0.001,0.002,<0.003,0.008,0.076,0.040,<0.0003,<0.005,<0.0060,0.53,93.5,1.75,5.28,1.78,183,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2017/4/27 下午 03:47:00,4149,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,中興國小(基隆市),2017/2/18 下午 03:26:00,4149,0.313,24.2,482,8.3,1.4,--,<152,16.1,321,28.3,0.56,0.04,16.5,0.30,<0.0003,<0.001,0.001,<0.001,<0.003,<0.002,0.069,0.045,<0.0003,<0.005,<0.0060,0.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2017/11/30 下午 01:09:00,4150,8.626,26.2,510,7.1,0.4,--,<43.4,240,265,21.5,1.37,0.02,42.5,<0.10,0.0008,<0.001,<0.001,0.002,0.004,0.004,4.87,0.288,--,--,<0.0060,0.15,41.5,3.45,79.5,15.9,218,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2017/8/16 下午 01:07:00,4150,9.664,25.1,482,7.2,0.5,--,<91.2,207,244,24.6,1.72,<0.01,15.3,2.58,0.0011,<0.001,0.002,<0.001,<0.003,0.009,2.61,0.184,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
