採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
嘉南平原,高雄市,竹滬國小,2019/3/18 下午 01:09:00,4264,--,--,--,--,1.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,高雄市,嘉興國小,2019/10/16 下午 03:23:00,4265,2.211,28.1,1030,7.30,2.2,--,423,610,28.0,1.23,<0.01,69.6,1.26,0.223,0.002,<0.001,<0.001,<0.003,0.003,2.43,0.048,--,--,<0.006,0.35,52.4,6.30,105,37.3,401,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,嘉興國小,2019/4/15 上午 09:46:00,4265,4.795,27.2,987,7.39,2.2,--,371,606,30.2,2.05,0.02,60.9,2.05,0.157,0.001,<0.001,<0.001,<0.003,<0.002,1.78,0.043,<0.0003,<0.005,<0.006,0.37,66.0,10.2,96.5,35.2,429,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,嘉興國小,2019/3/20 下午 02:33:00,4265,--,--,--,--,3.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,高雄市,復安國小,2019/10/16 下午 01:57:00,4266,2.711,27.3,853,7.10,1.7,--,387,538,23.4,0.24,<0.01,96.1,0.70,0.0375,<0.001,<0.001,<0.001,0.003,<0.002,2.60,0.192,--,--,<0.006,0.43,33.4,1.23,113,22.0,319,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,復安國小,2019/4/15 上午 11:19:00,4266,3.042,26.3,837,7.13,2.2,--,382,560,19.9,0.24,0.03,97.3,0.76,0.0300,<0.001,<0.001,<0.001,<0.003,<0.002,2.25,0.172,<0.0003,<0.005,<0.006,0.40,32.0,1.30,121,21.8,317,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,復安國小,2019/3/20 下午 12:40:00,4266,--,--,--,--,2.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,高雄市,大湖國小,2019/10/10 上午 10:58:00,4267,1.970,28.2,891,7.22,1.0,--,426,592,22.6,<0.01,3.39,115,0.72,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.029,0.345,--,--,<0.006,0.25,19.4,4.56,107,41.1,303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,大湖國小,2019/3/18 上午 11:24:00,4267,--,--,--,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,高雄市,中路國小,2019/10/16 上午 09:49:00,4268,4.597,28.9,416,6.63,3.8,--,163,232,8.7,<0.01,0.62,22.0,0.45,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,<0.005,--,--,<0.006,0.16,25.1,0.852,38.2,17.4,177,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,中路國小,2019/4/15 下午 12:54:00,4268,7.048,28.4,398,6.70,2.7,--,150,250,2.9,0.01,0.31,17.9,0.71,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.005,<0.005,<0.0003,<0.005,<0.006,0.14,28.6,0.756,34.9,15.8,185,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,中路國小,2019/3/20 上午 09:43:00,4268,--,--,--,--,2.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,歸南國小,2019/10/14 上午 10:11:00,4269,2.000,27.8,910,6.80,2.2,--,355,565,49.3,0.47,0.04,100,0.85,0.0235,<0.001,<0.001,<0.001,<0.003,0.002,2.88,0.493,--,--,<0.006,0.24,53.6,2.15,97.7,22.8,293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,歸南國小,2019/3/18 上午 09:45:00,4269,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,仁德國小,2019/11/13 上午 11:44:00,4270,1.357,28.0,764,6.75,2.7,--,330,460,17.3,0.21,<0.01,19.2,2.94,0.0008,<0.001,<0.001,<0.001,<0.003,<0.002,0.894,0.543,--,--,<0.006,0.16,38.8,4.02,106,18.3,370,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,仁德國小,2019/4/24 上午 11:53:00,4270,1.439,27.9,985,6.68,1.0,--,276,670,71.8,0.52,23.8,51.8,1.70,0.0005,<0.001,<0.001,<0.001,<0.003,<0.002,1.36,0.586,<0.0003,<0.005,0.0093,0.13,99.0,4.37,78.3,19.5,253,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,仁德國小,2019/3/20 上午 10:24:00,4270,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,文賢國中,2019/10/14 下午 02:26:00,4271,3.980,28.0,732,7.44,2.2,--,285,437,18.0,6.16,<0.01,<1.0,3.48,0.0512,<0.001,<0.001,<0.001,<0.003,<0.002,0.180,0.662,--,--,<0.006,0.70,27.6,15.8,99.0,11.2,348,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,文賢國中,2019/4/24 下午 02:05:00,4271,4.787,27.9,585,7.58,0.5,--,221,355,16.1,4.95,0.02,<1.0,2.96,0.0458,<0.001,<0.001,<0.001,<0.003,<0.002,2.54,0.598,<0.0003,<0.005,0.0132,0.69,26.2,13.2,75.0,9.29,285,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,文賢國中,2019/3/18 下午 01:52:00,4271,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,永康國小,2019/10/19 上午 11:35:00,4272,2.112,28.0,1140,7.07,2.2,--,342,628,86.1,3.17,0.02,78.0,1.40,0.0566,<0.001,<0.001,<0.001,<0.003,<0.002,3.61,0.336,--,--,<0.006,0.37,103,5.34,98.8,24.0,370,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,永康國小,2019/3/25 下午 02:29:00,4272,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,新化國小,2019/10/19 下午 01:41:00,4273,4.115,27.9,1270,6.80,2.0,--,446,698,64.8,13.5,0.03,87.6,1.74,0.0006,<0.001,<0.001,<0.001,<0.003,<0.002,0.138,1.16,--,--,<0.006,0.71,67.2,13.0,108,43.3,449,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,新化國小,2019/4/24 上午 09:56:00,4273,5.423,28.0,1070,6.93,1.2,--,383,634,62.1,13.3,0.09,51.3,1.28,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.017,0.254,<0.0003,<0.005,0.0099,0.80,61.0,13.2,92.9,39.1,425,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,新化國小,2019/3/25 上午 11:24:00,4273,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,延平國小,2019/10/30 下午 04:16:00,4274,2.175,26.9,1280,7.09,1.7,--,431,754,36.5,5.02,0.02,74.8,1.36,0.0136,<0.001,<0.001,<0.001,<0.003,0.003,0.315,0.244,--,--,<0.006,0.16,83.9,65.1,100,50.7,541,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,延平國小,2019/3/25 下午 02:57:00,4274,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,三股國小,2019/10/14 下午 02:24:00,4275,1.864,28.3,2410,6.80,2.3,--,598,1390,350,1.01,0.01,94.8,3.34,0.0136,<0.001,<0.001,<0.001,<0.003,0.014,0.031,0.995,--,--,<0.006,0.35,297,25.3,120,68.3,668,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,三股國小,2019/3/19 下午 01:17:00,4275,--,--,--,--,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,樹林國小,2019/10/24 上午 10:55:00,4276,1.875,27.8,27800,6.88,1.5,--,2720,17600,8720,22.2,0.05,631,1.28,0.0011,<0.001,<0.001,<0.001,<0.003,0.005,0.402,0.695,--,--,<0.006,0.56,5540,176,237,532,533,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹林國小,2019/4/17 上午 09:59:00,4276,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,後營國小,2019/11/13 上午 09:53:00,4277,2.630,26.7,1350,6.88,0.9,--,582,908,82.2,0.11,<0.01,194,1.05,0.0008,<0.001,0.001,<0.001,<0.003,<0.002,0.127,0.923,--,--,<0.006,0.10,77.5,5.24,158,45.7,408,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,後營國小,2019/4/24 下午 03:00:00,4277,2.474,27.1,1280,6.89,1.0,--,566,902,81.0,0.06,0.37,170,1.01,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.020,0.248,<0.0003,<0.005,<0.006,0.16,74.7,5.27,154,43.1,423,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,後營國小,2019/4/17 上午 09:39:00,4277,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,光復國小,2019/10/14 上午 10:40:00,4278,1.024,28.5,57500,7.10,1.1,--,7170,42800,22900,5.59,0.02,3060,0.87,0.0713,<0.001,<0.001,<0.001,<0.003,0.009,5.93,0.972,--,--,<0.006,1.75,12000,417,436,1430,293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,光復國小,2019/4/29 上午 10:35:00,4278,0.882,28.8,54800,7.13,1.0,--,6720,42800,20500,6.53,0.05,2740,1.95,0.0514,<0.001,<0.001,<0.001,<0.003,0.008,4.06,0.899,<0.0003,0.012,0.0062,0.55,11100,369,391,1290,325,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,光復國小,2019/3/19 上午 10:03:00,4278,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,長平國小,2019/10/25 上午 10:14:00,4279,1.856,28.7,1120,7.14,3.2,--,446,697,68.0,0.10,0.02,113,1.05,0.0107,<0.001,<0.001,<0.001,<0.003,0.006,0.176,0.528,--,--,0.0074,0.22,71.5,5.23,138,33.2,363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,長平國小,2019/5/2 上午 11:51:00,4279,--,--,--,--,0.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,長平國小,2019/4/10 上午 10:46:00,4279,1.936,28.6,1770,7.26,3.2,--,558,1060,255,0.32,0.02,99.0,1.01,0.0026,<0.001,<0.001,<0.001,<0.003,0.005,0.046,0.268,<0.0003,<0.005,<0.006,0.19,149,12.4,136,54.2,381,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,官田工業區管理中心,2019/10/29 下午 01:35:00,4280,1.934,28.1,769,6.89,3.4,--,328,465,17.9,0.05,0.04,56.1,0.84,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.026,0.106,--,--,<0.006,0.22,42.5,0.763,96.3,27.6,324,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,官田工業區管理中心,2019/4/29 上午 11:51:00,4280,--,--,--,--,0.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,坔頭港國小(原為河南國小),2019/10/30 上午 10:35:00,4281,2.110,27.3,890,7.05,1.5,--,413,562,13.7,0.24,0.07,58.1,1.05,0.0019,<0.001,<0.001,<0.001,<0.003,0.003,0.029,0.244,--,--,<0.006,0.16,26.7,19.8,102,45.0,396,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,坔頭港國小(原為河南國小),2019/3/25 上午 10:04:00,4281,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,林鳳國小,2019/10/29 上午 10:42:00,4282,1.609,26.8,1450,6.51,1.5,--,608,1010,130,1.86,<0.01,249,1.38,0.0069,<0.001,<0.001,<0.001,<0.003,0.002,1.59,3.36,--,--,<0.006,0.40,82.3,2.40,158,56.6,341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,林鳳國小,2019/4/29 上午 10:24:00,4282,--,--,--,--,2.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,林鳳國小,2019/4/10 下午 01:18:00,4282,1.630,27.3,1070,6.71,2.0,--,440,704,73.6,2.59,<0.01,149,1.57,0.0049,0.002,0.002,<0.001,0.004,0.003,0.592,2.07,<0.0003,<0.005,<0.006,0.44,52.8,2.30,119,39.3,307,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,蚵寮國小(台南市),2019/10/28 上午 10:39:00,4283,1.225,27.2,16000,7.47,1.8,--,1590,10800,4890,7.22,0.02,570,3.20,0.0353,<0.001,<0.001,<0.001,<0.003,0.006,0.008,0.570,--,--,<0.006,0.54,3120,159,101,323,479,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,蚵寮國小(台南市),2019/3/29 上午 09:59:00,4283,--,--,--,--,2.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹縣,坪林國小,2019/10/17 上午 11:46:00,4284,10.138,25.4,126,5.82,5.2,--,36.3,91.0,9.5,<0.01,2.10,12.1,0.35,<0.0003,<0.001,<0.001,<0.001,<0.003,0.017,0.056,<0.005,--,--,<0.0060,<0.10,8.73,0.875,8.18,4.77,21.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2019/8/22 下午 01:25:00,4284,7.425,25.3,129,6.02,2.4,--,31.6,93.5,8.8,<0.01,1.35,13.0,0.53,<0.0003,<0.001,0.001,<0.001,<0.003,0.026,0.071,<0.005,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2019/5/20 下午 12:32:00,4284,10.256,22.3,146,5.90,3.8,--,44.4,83.5,9.8,<0.01,1.60,13.9,0.60,<0.0003,<0.001,0.002,0.003,<0.003,0.025,0.129,<0.005,<0.0003,<0.005,<0.0060,<0.10,8.59,0.898,9.52,5.33,29.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,坪林國小,2019/4/25 上午 10:51:00,4284,--,--,--,--,3.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,坪林國小,2019/2/22 下午 12:46:00,4284,16.550,25.7,177,6.20,5.3,--,55.6,150,11.5,<0.01,2.28,14.5,0.44,0.0005,<0.001,0.001,<0.001,<0.003,0.036,0.135,<0.005,--,--,<0.0060,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹人國小,2019/11/8 下午 12:29:00,4285,5.051,27.0,736,6.73,2.9,--,343,461,22.1,0.01,0.24,48.8,0.85,<0.0003,<0.001,<0.001,0.001,<0.003,0.005,0.017,0.151,--,--,<0.006,0.21,35.0,0.648,96.1,29.5,321,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,樹人國小,2019/5/2 上午 11:30:00,4285,--,--,--,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,新竹縣,長安國小,2019/10/18 下午 04:01:00,4286,12.085,24.4,91,5.29,3.6,--,21.4,88.0,12.9,<0.01,0.95,1.6,0.13,<0.0003,<0.001,<0.001,<0.001,<0.003,0.051,0.121,0.043,--,--,<0.0060,<0.10,10.3,2.32,2.71,2.94,15.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2019/8/22 下午 03:10:00,4286,10.916,24.1,87,5.47,4.8,--,14.0,55.5,12.8,<0.01,0.97,1.3,0.19,<0.0003,<0.001,<0.001,0.001,<0.003,0.059,0.099,0.045,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2019/5/20 下午 03:57:00,4286,11.850,24.0,93,5.36,3.4,--,18.0,66.5,12.6,<0.01,1.20,2.2,0.19,<0.0003,<0.001,0.002,0.002,<0.003,0.040,0.176,0.053,<0.0003,0.005,<0.0060,<0.10,9.42,2.27,2.36,2.65,14.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,長安國小,2019/4/24 下午 03:56:00,4286,--,--,--,--,4.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,長安國小,2019/2/22 下午 02:27:00,4286,13.390,25.8,92,5.30,3.2,--,16.3,86.0,13.1,<0.01,2.05,1.0,0.32,<0.0003,<0.001,0.002,0.005,<0.003,0.036,0.056,0.086,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,菁寮國小,2019/11/8 下午 02:32:00,4288,1.360,27.0,942,7.10,2.0,--,436,628,48.0,0.24,0.02,144,1.18,0.0119,<0.001,<0.001,<0.001,0.004,0.002,4.02,0.783,--,--,<0.006,0.20,35.4,1.10,133,37.3,296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,臺南市,菁寮國小,2019/5/2 下午 01:09:00,4288,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,臺南市,菁寮國小,2019/4/10 上午 10:31:00,4288,1.265,27.4,738,7.12,2.1,--,329,452,25.1,0.15,0.05,89.8,0.99,0.0070,<0.001,<0.001,<0.001,<0.003,<0.002,3.54,0.556,<0.0003,<0.005,<0.006,0.21,25.8,1.00,94.7,26.7,266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹市,港南國小,2019/10/22 下午 12:02:00,4294,1.020,26.6,940,7.30,0.3,--,302,539,83.5,2.25,<0.01,60.0,1.74,0.0043,<0.001,<0.001,<0.001,<0.003,0.025,0.033,0.671,--,--,<0.0060,0.50,81.0,14.0,92.7,20.5,287,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
