採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,五堵國小,2019/5/24 上午 10:18:00,4147,8.732,25.5,297,5.38,0.9,--,53.5,149,23.2,0.87,<0.01,79.8,0.89,0.0006,<0.001,0.004,<0.001,<0.003,0.024,6.96,1.98,<0.0003,<0.005,<0.0060,0.19,27.3,3.60,11.6,4.96,28.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,五堵國小,2019/4/25 上午 11:21:00,4147,--,--,--,--,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,五堵國小,2019/2/25 上午 10:20:00,4147,8.605,25.5,305,5.49,1.7,--,55.0,189,22.9,0.83,<0.01,51.1,0.68,0.0010,<0.001,0.004,<0.001,0.004,0.041,9.10,1.94,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2019/11/15 上午 11:30:00,4149,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,井況異常，無法採樣
臺北盆地,基隆市,中興國小(基隆市),2019/8/14 下午 03:36:00,4149,0.774,25.8,474,8.26,0.1,--,27.0,251,21.5,0.65,<0.01,17.1,0.34,<0.0003,<0.001,<0.001,<0.001,<0.003,0.004,0.037,0.019,--,--,<0.0060,0.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2019/5/29 下午 01:04:00,4149,0.735,24.7,468,8.26,0.2,--,26.8,254,24.9,0.55,0.03,14.1,0.36,<0.0003,<0.001,0.002,0.001,<0.003,0.008,0.070,0.043,<0.0003,<0.005,<0.0060,0.58,92.9,1.68,6.51,2.15,188,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,中興國小(基隆市),2019/4/25 下午 03:48:00,4149,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,中興國小(基隆市),2019/2/26 下午 02:30:00,4149,0.703,24.5,466,8.26,0.2,--,26.7,245,24.5,0.54,0.02,14.9,0.20,<0.0003,<0.001,0.001,<0.001,<0.003,0.002,0.024,0.008,--,--,<0.0060,0.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2019/11/14 下午 01:09:00,4150,9.561,25.8,480,7.07,0.1,--,203,267,30.0,2.14,<0.01,25.7,2.12,0.0013,<0.001,<0.001,<0.001,<0.003,<0.002,4.63,0.205,--,--,<0.0060,0.18,20.6,3.33,41.3,24.7,208,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2019/8/13 下午 01:13:00,4150,9.143,27.2,506,7.09,0.7,--,220,291,20.3,2.57,0.02,20.3,2.27,0.0009,<0.001,<0.001,<0.001,<0.003,0.011,0.911,0.197,--,--,<0.0060,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
